row_id,winners
0,b3|b4
1,b2
2,b2
3,b3|b4
4,b3|b4
5,b3|b4
6,b3|b4
7,b3|b4
8,b2
9,b2
10,b2
11,b3|b4
12,b0|b2
13,b3|b4
14,b2
15,b3|b4
16,b3|b4
17,b3|b4
18,b3|b4
19,b3|b4
20,b3|b4
21,b3|b4
22,b3|b4
23,b3|b4
24,b0|b1|b2|b3|b4
25,b2
26,b3|b4
27,b3|b4
28,b3|b4
29,b3|b4
30,b3|b4
31,b0|b1|b2
32,b3|b4
33,b2
34,b3|b4
35,b2
36,b2
37,b3|b4
38,b3|b4
39,b3|b4
40,b3|b4
41,b2
42,b2
43,b3|b4
44,b3|b4
45,b2
46,b2
47,b3|b4
48,b2
49,b3|b4
50,b1
51,b3|b4
52,b3|b4
53,b3|b4
54,b3|b4
55,b3|b4
56,b3|b4
57,b3|b4
58,b3|b4
59,b3|b4
60,b3|b4
61,b0
62,b3|b4
63,b3|b4
64,b3|b4
65,b3|b4
66,b3|b4
67,b1|b2|b3|b4
68,b3|b4
69,b3|b4
70,b2
71,b3|b4
72,b3|b4
73,b3|b4
74,b3|b4
75,b3|b4
76,b3|b4
77,b3|b4
78,b3|b4
79,b3|b4
80,b3|b4
81,b2
82,b3|b4
83,b3|b4
84,b2|b3|b4
85,b1|b2
86,b3|b4
87,b2
88,b3|b4
89,b3|b4
90,b3|b4
91,b3|b4
92,b1
93,b0|b1|b2
94,b3|b4
95,b2
96,b3|b4
97,b3|b4
98,b2
99,b3|b4
100,b3|b4
101,b3|b4
102,b1|b2
