row_id,winners
0,b1|b3|b4
1,b4
2,b1|b2|b3|b4
3,b3|b4
4,b4
5,b4
6,b1|b2|b3|b4
7,b1|b3|b4
8,b4
9,b4
10,b1|b2|b3|b4
11,b3|b4
12,b4
13,b4
14,b4
15,b4
16,b4
17,b4
18,b4
19,b4
20,b4
21,b3|b4
22,b4
23,b4
24,b4
25,b3|b4
26,b1|b4
27,b3|b4
28,b0|b2
29,b3|b4
30,b4
31,b4
32,b4
33,b1|b4
34,b1|b2|b3|b4
35,b1|b2
36,b1|b2|b3|b4
37,b4
38,b1|b2|b3|b4
39,b4
40,b1|b2|b3|b4
41,b1|b2|b4
42,b2
43,b1|b2|b3|b4
44,b4
45,b1|b2|b3|b4
46,b1|b2|b4
47,b4
48,b4
49,b1|b4
50,b4
51,b1|b2|b3|b4
52,b4
53,b1|b2|b3|b4
54,b4
55,b3|b4
56,b1|b2|b3|b4
57,b3|b4
58,b4
59,b4
60,b3|b4
61,b4
62,b1|b2|b3|b4
63,b0|b1|b2
64,b4
65,b3|b4
66,b1|b4
67,b3|b4
68,b3|b4
69,b3|b4
70,b3|b4
71,b1|b2|b4
72,b4
73,b4
74,b4
75,b4
76,b3|b4
77,b4
78,b4
79,b1|b2
80,b4
81,b4
82,b4
83,b4
84,b3|b4
85,b4
86,b4
87,b2
88,b0|b4
89,b3|b4
90,b4
91,b4
92,b3|b4
93,b3|b4
94,b4
95,b2|b3|b4
96,b3|b4
97,b3|b4
98,b2|b3|b4
99,b4
100,b1|b2|b3
101,b4
102,b1|b2|b3|b4
103,b3|b4
104,b0|b1|b2|b3|b4
105,b1|b2
106,b4
107,b1|b2|b3|b4
108,b1|b2|b3|b4
109,b3|b4
110,b3|b4
111,b3|b4
112,b4
113,b4
114,b4
115,b1|b2|b3|b4
116,b4
117,b4
118,b4
119,b4
120,b4
121,b1|b3|b4
122,b3|b4
123,b4
124,b4
125,b3|b4
126,b1|b4
127,b4
128,b4
129,b3|b4
130,b3|b4
131,b1|b2
132,b3|b4
133,b4
134,b4
135,b1|b2|b3|b4
