row_id,winners
0,b4
1,b2|b3|b4
2,b0|b3|b4
3,b2|b3|b4
4,b3|b4
5,b2|b3|b4
6,b3|b4
7,b4
8,b0|b3|b4
9,b0|b1|b2|b3|b4
10,b1
11,b0|b1|b2|b3|b4
12,b0|b1|b2|b3|b4
13,b2|b4
14,b0|b1|b2|b3|b4
15,b4
16,b4
17,b4
18,b1|b2|b3|b4
19,b2|b3|b4
20,b0|b1|b2|b3|b4
21,b1|b2|b3|b4
22,b0|b1|b2|b3|b4
23,b0|b2|b3|b4
24,b0|b1|b2|b3|b4
25,b4
26,b1|b2|b3|b4
27,b4
28,b2|b3|b4
29,b4
30,b1|b2|b3|b4
31,b0|b1|b2|b3|b4
32,b4
33,b4
34,b4
35,b0|b1|b2|b3|b4
36,b0|b1|b2|b3|b4
37,b0|b1|b2|b3|b4
38,b4
39,b1|b2|b3|b4
40,b1|b2|b3|b4
41,b4
42,b2|b3|b4
43,b4
44,b1|b2|b3|b4
45,b3|b4
46,b0|b4
47,b4
48,b0|b1|b2|b3|b4
49,b3|b4
50,b4
51,b4
52,b0|b1|b2|b3|b4
53,b0|b1|b2|b3|b4
54,b4
55,b3|b4
56,b3|b4
57,b4
58,b0|b2|b3
59,b3|b4
60,b4
61,b0|b1|b2|b3|b4
62,b1|b2|b3|b4
63,b2|b3|b4
64,b4
65,b3|b4
66,b0|b2|b3|b4
67,b0|b1|b2|b3|b4
68,b0|b1|b2|b3|b4
69,b0|b1|b2|b3|b4
70,b2
71,b4
72,b0|b1|b4
73,b1|b2|b3|b4
74,b4
75,b4
76,b1|b2|b3|b4
77,b3|b4
78,b4
79,b2|b3|b4
80,b3|b4
81,b1|b2|b3|b4
82,b0|b1|b2|b3|b4
83,b3|b4
84,b4
85,b0|b1|b2|b3|b4
86,b3|b4
87,b4
88,b0|b1|b2|b3|b4
89,b4
90,b2|b3|b4
91,b2|b3|b4
92,b4
93,b4
94,b0
95,b0|b3|b4
96,b3|b4
97,b1|b2|b3|b4
98,b4
99,b1|b2|b3|b4
100,b4
101,b2|b3|b4
102,b3|b4
103,b3|b4
104,b2|b4
105,b4
106,b4
107,b4
108,b3|b4
109,b0
110,b4
111,b1|b2|b3|b4
112,b4
113,b0|b1|b2|b3|b4
114,b2|b3|b4
115,b0|b1|b2|b3|b4
