row_id,winners
0,b2|b3
1,b2
2,b4
3,b2|b3|b4
4,b2|b3
5,b1|b2|b3|b4
6,b3|b4
7,b4
8,b4
9,b4
10,b3
11,b2|b3|b4
12,b0|b1|b2|b3|b4
13,b1|b2|b3|b4
14,b2
15,b2|b4
16,b4
17,b3
18,b4
19,b2
20,b2|b3|b4
21,b3|b4
22,b4
23,b2|b4
24,b3|b4
25,b2|b3|b4
26,b0|b1|b2|b3
27,b4
28,b3|b4
29,b2|b3|b4
30,b3
31,b2|b3|b4
32,b4
33,b1|b2|b3|b4
34,b4
35,b2|b3|b4
36,b3
37,b1|b2|b3|b4
38,b4
39,b4
40,b2|b3|b4
41,b4
42,b1|b2|b3|b4
43,b4
44,b3|b4
45,b3|b4
46,b4
47,b2|b3|b4
48,b4
49,b0|b1|b2|b3|b4
50,b2|b3|b4
51,b1|b2|b3|b4
52,b3|b4
53,b3|b4
54,b3|b4
55,b3|b4
56,b0|b1|b2|b3|b4
57,b1|b3|b4
58,b4
59,b4
60,b3|b4
61,b2|b3|b4
62,b3|b4
63,b1|b2
64,b1|b2|b3|b4
65,b2|b3|b4
66,b1|b2|b3|b4
67,b4
68,b4
69,b1|b2|b3|b4
70,b0|b1
71,b4
72,b3|b4
73,b3|b4
74,b4
75,b3|b4
76,b4
77,b4
78,b4
79,b4
80,b3|b4
81,b2|b3|b4
82,b2|b3|b4
83,b3|b4
84,b4
85,b3|b4
86,b3|b4
87,b4
88,b4
89,b3|b4
90,b4
91,b3|b4
92,b4
93,b2|b3|b4
94,b2|b3|b4
95,b1|b2
96,b3|b4
97,b4
98,b4
99,b1|b2|b3|b4
100,b0
101,b4
102,b1|b2|b3|b4
103,b1|b3|b4
104,b4
105,b3
106,b4
107,b4
108,b0|b1|b2|b3|b4
109,b2|b3|b4
110,b4
111,b2|b3|b4
112,b0|b1|b2|b3|b4
113,b4
114,b4
115,b4
116,b4
117,b2|b3|b4
118,b3|b4
119,b3|b4
120,b4
121,b4
122,b2|b3|b4
123,b4
124,b3|b4
125,b2|b3|b4
126,b2|b4
127,b1|b2|b3|b4
128,b3|b4
129,b1|b2|b3|b4
130,b3|b4
131,b3|b4
132,b4
133,b2|b3
134,b2
135,b4
136,b3|b4
137,b3|b4
138,b3|b4
139,b3|b4
140,b4
141,b3|b4
142,b3|b4
143,b2
144,b2|b4
145,b4
146,b3|b4
147,b2|b3|b4
148,b1|b2|b3|b4
149,b1|b2|b3|b4
150,b2
151,b4
152,b4
153,b4
154,b2|b3|b4
155,b0|b1|b2|b3|b4
156,b2|b3|b4
157,b0|b1|b2|b3|b4
158,b4
159,b2|b3|b4
160,b4
161,b3|b4
162,b4
163,b3|b4
164,b1|b2|b3|b4
165,b4
166,b1|b2|b3|b4
167,b4
168,b3|b4
169,b4
170,b4
171,b3|b4
172,b3|b4
173,b4
174,b2|b3|b4
175,b4
176,b0|b1|b2|b3
177,b4
178,b4
179,b2|b3
180,b2|b3|b4
181,b4
182,b2|b3|b4
183,b1|b2|b3|b4
184,b2|b3|b4
185,b3|b4
186,b1|b2|b3|b4
187,b2|b3|b4
188,b4
189,b3|b4
190,b1|b3|b4
191,b1|b2|b3|b4
192,b4
193,b0|b1|b2|b3|b4
194,b4
195,b4
196,b4
197,b4
198,b1|b2|b3|b4
199,b4
200,b2
201,b4
202,b3|b4
203,b2|b3|b4
204,b4
205,b4
206,b1|b2|b3|b4
207,b4
208,b4
209,b1|b2|b3|b4
210,b1|b2|b3|b4
211,b4
212,b1|b2|b3|b4
213,b1|b2|b3|b4
214,b0|b1|b2|b3|b4
215,b2|b3|b4
216,b3|b4
217,b3|b4
218,b3|b4
219,b3|b4
220,b4
221,b4
222,b4
223,b2|b3|b4
224,b2|b3|b4
225,b2|b3
226,b2|b3|b4
227,b4
228,b1|b2|b3|b4
229,b4
230,b2|b3|b4
231,b1|b2|b3|b4
232,b4
233,b3
234,b3|b4
235,b2|b3|b4
236,b1|b2|b3|b4
237,b4
238,b3|b4
239,b2
240,b2|b3|b4
241,b1|b2|b3|b4
242,b3
243,b3|b4
244,b2
245,b2|b3
246,b4
247,b3|b4
248,b0|b1|b2|b3|b4
249,b2|b3|b4
250,b1|b3|b4
251,b1|b2|b3|b4
252,b4
253,b2|b3|b4
254,b4
255,b3
256,b1|b2|b3|b4
257,b2|b3
258,b3|b4
259,b4
260,b4
261,b0|b1|b3
262,b3
263,b2|b3|b4
264,b2|b3|b4
265,b4
266,b3|b4
267,b4
268,b2|b3|b4
269,b3|b4
270,b3|b4
271,b4
272,b2|b4
273,b1|b2
274,b2
275,b3|b4
276,b3|b4
277,b4
278,b3|b4
279,b4
280,b1|b2|b3|b4
281,b2|b3|b4
282,b4
283,b4
284,b3|b4
285,b1|b2|b3|b4
286,b2|b3|b4
287,b3|b4
288,b2|b4
289,b0|b1|b2|b3|b4
290,b4
291,b4
292,b0|b1|b2|b3|b4
293,b0|b1|b2|b3|b4
294,b3|b4
295,b1
296,b4
297,b1|b2|b3|b4
298,b3|b4
299,b1|b3|b4
300,b3|b4
301,b4
302,b1|b3|b4
303,b4
304,b3|b4
305,b1|b2|b3|b4
306,b2|b3|b4
307,b1|b2|b3|b4
308,b3|b4
309,b4
310,b3|b4
311,b4
312,b4
313,b1|b2|b3|b4
314,b3|b4
315,b4
316,b4
317,b4
318,b0|b1|b2|b3|b4
319,b2|b3|b4
320,b1|b2|b3|b4
321,b3|b4
322,b4
323,b4
324,b4
325,b0|b1|b2|b3|b4
326,b3|b4
327,b3|b4
328,b4
329,b3|b4
330,b3|b4
331,b3|b4
332,b3|b4
333,b2|b4
334,b3|b4
335,b3|b4
336,b4
337,b2|b3
338,b0|b1|b3|b4
339,b4
340,b1|b2|b3|b4
341,b2|b4
342,b3|b4
343,b2|b3|b4
344,b1|b2|b3|b4
345,b2|b3|b4
346,b3|b4
347,b2|b3|b4
348,b3|b4
349,b2|b3|b4
350,b2|b3|b4
351,b2|b3
352,b4
353,b4
354,b1|b2|b3
355,b1|b2|b3|b4
356,b4
357,b3|b4
358,b1|b2|b3|b4
359,b4
360,b4
361,b1|b2|b3|b4
362,b1|b2|b3|b4
363,b4
364,b3|b4
365,b2|b3|b4
366,b1|b2|b3|b4
367,b1|b3|b4
368,b4
369,b4
370,b3|b4
371,b4
372,b1|b2|b3|b4
373,b4
374,b4
375,b0|b1|b2|b3|b4
376,b2|b4
377,b2|b3
378,b2|b3|b4
379,b4
380,b2
381,b4
382,b3|b4
383,b1
384,b2|b4
385,b3
386,b1|b2|b3|b4
387,b2|b3|b4
388,b2|b3|b4
389,b4
390,b0|b1
391,b2|b3|b4
392,b2|b3|b4
393,b2|b3|b4
394,b3|b4
395,b4
396,b2|b3|b4
397,b2|b3|b4
398,b0|b1|b2|b3
399,b2|b3|b4
400,b4
401,b4
402,b1|b2|b3|b4
403,b4
404,b2|b3
405,b4
406,b4
407,b1|b2|b3|b4
408,b2|b3|b4
409,b4
410,b4
411,b0|b1|b2|b3|b4
412,b4
413,b4
414,b4
415,b4
416,b0|b1|b2|b3
417,b4
418,b3|b4
419,b4
420,b3
421,b4
422,b4
423,b4
424,b3|b4
425,b2|b3|b4
426,b3|b4
427,b0|b1|b2|b3|b4
428,b4
429,b2|b3|b4
430,b4
431,b4
432,b2|b3|b4
433,b3|b4
434,b1
435,b0|b1|b2|b3|b4
436,b3|b4
437,b1|b2|b3|b4
438,b1|b3|b4
439,b1|b2|b3|b4
440,b4
441,b4
442,b0|b1|b2|b3|b4
443,b1|b2|b3|b4
444,b3|b4
445,b1|b2|b3|b4
446,b4
447,b4
448,b4
449,b3|b4
450,b1|b2|b3|b4
451,b2
452,b1|b2|b3|b4
453,b2|b3|b4
454,b3|b4
455,b2|b3|b4
456,b3
457,b3|b4
458,b2|b3|b4
459,b1|b2|b3|b4
460,b4
461,b1
462,b4
463,b4
464,b2|b3|b4
465,b4
466,b2
467,b0|b1|b2|b3|b4
468,b1|b2|b3|b4
469,b4
470,b3|b4
471,b1|b2|b3|b4
472,b3|b4
473,b3|b4
474,b4
475,b1|b2|b3|b4
476,b4
477,b1
478,b0|b1|b2|b3|b4
479,b2|b3|b4
480,b3
481,b2|b3|b4
482,b3|b4
483,b2|b3|b4
484,b4
485,b3|b4
486,b4
487,b4
488,b4
489,b1|b2|b3|b4
490,b3|b4
491,b2|b3|b4
492,b2
493,b1|b2|b3|b4
494,b2|b3|b4
495,b3|b4
496,b3|b4
497,b2|b3|b4
498,b3|b4
499,b0|b1|b2|b3|b4
500,b4
