row_id,winners
0,b2
1,b2|b3
2,b3|b4
3,b1
4,b1|b4
5,b0|b1|b2|b3|b4
6,b4
7,b4
8,b4
9,b2
10,b4
11,b1|b2|b3
12,b2|b3|b4
13,b0|b1
14,b1|b2|b3
15,b3|b4
16,b0|b2|b3|b4
17,b3
18,b4
19,b4
20,b0|b2
21,b0|b1|b2|b3|b4
22,b3|b4
23,b1|b3|b4
24,b0|b3|b4
25,b0|b1|b2|b3|b4
26,b0|b1|b2|b3|b4
27,b0|b1|b2|b3|b4
28,b3|b4
29,b0|b1|b2|b3|b4
30,b3|b4
31,b1|b2|b3|b4
32,b0|b1|b2|b3|b4
33,b4
34,b0|b2
35,b1|b2
36,b1|b2|b3|b4
37,b0|b3|b4
38,b2|b4
39,b4
40,b2|b3|b4
41,b1|b2|b3|b4
42,b4
43,b2|b4
44,b3
45,b4
46,b2|b3
47,b4
48,b3|b4
49,b2
50,b1|b3|b4
51,b0|b1|b2|b3|b4
52,b0|b2|b3|b4
53,b4
54,b0|b1|b2|b3|b4
55,b0|b1|b2|b3|b4
56,b2|b3|b4
57,b1|b2|b3|b4
58,b0|b1|b2|b3
59,b1|b2|b3|b4
60,b1|b2|b3|b4
61,b1|b4
62,b3|b4
63,b0|b1|b2
64,b0|b1
65,b0|b1|b2
66,b0|b1|b2|b3|b4
67,b3
68,b4
69,b1|b2|b3|b4
70,b1|b2|b3|b4
71,b0|b1|b2|b3|b4
72,b0|b1|b2|b3|b4
73,b0|b1|b2|b3|b4
74,b1|b2|b3
75,b1|b3|b4
76,b4
77,b0|b1|b2|b3|b4
78,b0|b1|b2|b3|b4
79,b3|b4
80,b3|b4
81,b0|b1|b2|b3|b4
82,b3
83,b0|b1
84,b2|b3|b4
85,b0|b2|b3|b4
86,b3|b4
87,b1|b3
88,b0|b1|b2|b3|b4
89,b0|b1|b2|b3
90,b2|b3|b4
91,b4
92,b4
93,b2|b4
94,b0|b1|b2|b3|b4
95,b3
96,b2|b3
97,b0|b1|b2|b3
98,b4
99,b0|b1|b2|b3
100,b4
101,b2|b3|b4
102,b4
103,b2|b3|b4
104,b0|b1|b2|b3|b4
105,b2|b3
106,b0|b1|b2
107,b4
108,b1|b2|b4
109,b3|b4
110,b4
111,b0|b1|b2|b3|b4
112,b0|b1|b2|b3|b4
113,b0|b1
114,b0|b1|b2
115,b1|b2|b3|b4
116,b2
117,b2|b3|b4
118,b2
119,b2|b3|b4
120,b1|b3|b4
121,b3|b4
122,b2|b3
123,b4
124,b1|b3|b4
125,b0|b3|b4
126,b1|b2|b3
127,b3
128,b0|b1|b2|b4
129,b4
130,b1|b2|b3
131,b0|b1|b2|b3|b4
132,b2|b3
133,b3|b4
134,b1|b2
135,b4
136,b1|b2|b3
137,b2|b3|b4
138,b0|b1|b2|b3|b4
139,b0
140,b1|b2|b3|b4
