row_id,winners
0,b0|b1|b2|b3|b4
1,b0|b1|b2|b3|b4
2,b0|b1|b2|b3|b4
3,b0|b1|b2|b3|b4
4,b2|b3|b4
5,b0|b1|b2|b3|b4
6,b4
7,b0|b1|b2|b3|b4
8,b0|b1|b2|b3|b4
9,b0|b1|b2|b3|b4
10,b0|b1|b2|b3|b4
11,b0|b1|b2|b3|b4
12,b0|b1|b2|b3|b4
13,b1|b2|b3|b4
14,b0|b1|b2|b3|b4
15,b0|b1|b2|b3|b4
16,b0|b1|b4
17,b0|b3|b4
18,b0|b1|b2|b3|b4
19,b0|b1|b2|b3|b4
20,b0|b1|b2|b3|b4
21,b0|b1|b2|b3|b4
22,b0|b1|b2|b3|b4
23,b4
24,b0|b1|b2|b3|b4
25,b0|b1|b2|b3|b4
26,b0|b1|b2|b3|b4
27,b0|b1|b2|b3|b4
28,b2|b3
29,b0|b1|b2|b3|b4
30,b2|b3|b4
31,b0|b1|b2|b3|b4
32,b0|b1|b2|b3|b4
33,b0|b1|b2|b3|b4
34,b0|b1|b2|b3|b4
35,b1
36,b0|b1|b2|b3|b4
37,b0|b1|b2|b3|b4
38,b2|b3|b4
39,b0|b1|b2|b3|b4
40,b0|b1|b2|b3|b4
41,b0|b1|b2|b3|b4
42,b0|b1|b2|b3|b4
43,b2
44,b0|b1|b2|b3|b4
45,b0|b1|b2|b3|b4
46,b0|b1|b2|b3|b4
47,b0|b1|b2|b3|b4
48,b2|b3|b4
49,b0|b1|b2|b3|b4
50,b2|b3
51,b1
52,b0|b1|b2|b4
53,b0|b1|b2|b3|b4
54,b0|b1|b2|b3|b4
55,b0|b1|b2|b3|b4
56,b0|b4
57,b0|b1|b2|b3|b4
58,b1|b2|b3|b4
59,b0|b1|b2|b3|b4
60,b0|b1|b2|b3|b4
61,b0|b1|b2|b3|b4
62,b0|b1|b2|b3|b4
63,b2|b3|b4
64,b0|b1|b2|b3|b4
65,b0|b1|b2|b3|b4
66,b0|b1|b2|b3|b4
67,b0|b1|b2|b3|b4
68,b0|b1|b2|b3|b4
69,b4
70,b0|b1|b2|b3|b4
71,b0|b1|b2|b3|b4
72,b2|b3|b4
73,b0|b1|b2|b3|b4
74,b0|b1|b2|b3|b4
75,b1|b2
76,b0|b1|b2|b3|b4
77,b0|b1|b2|b3|b4
78,b0|b1
79,b0|b1|b2|b3|b4
80,b0|b1|b2|b3|b4
81,b0|b1|b2|b3|b4
82,b0|b1|b2|b3|b4
83,b0|b1|b2|b3|b4
84,b0|b1|b2|b3|b4
85,b0|b1|b2|b3|b4
86,b0|b1|b2|b3|b4
87,b0|b2|b3|b4
88,b0|b1|b2|b3|b4
89,b0|b1|b2|b3|b4
90,b0|b1|b2|b3|b4
91,b4
92,b0|b1|b2|b3|b4
93,b0
94,b0|b1|b2|b3|b4
95,b0|b1|b2|b3|b4
96,b4
97,b0|b1|b2|b4
98,b0|b1|b2|b3|b4
99,b0
100,b0|b1|b2|b3|b4
101,b0|b1|b2|b3|b4
102,b3
103,b0|b1|b2|b3|b4
104,b0|b1|b2|b3|b4
105,b0|b1|b2|b3|b4
106,b0|b1
107,b0|b1|b2|b3|b4
108,b0|b1|b2|b3|b4
109,b0|b1|b2|b3|b4
110,b0|b1|b2|b3|b4
111,b0|b1|b2|b3|b4
112,b0|b1|b2|b3
113,b0|b1|b2|b3|b4
114,b0|b1|b2|b3|b4
115,b3
116,b0|b1|b4
117,b0|b1|b2|b3|b4
118,b0|b1|b2|b3|b4
119,b0|b1|b2|b3|b4
120,b4
121,b0|b1|b2|b3|b4
122,b0|b1|b2|b3|b4
123,b2|b3
124,b0|b1|b2|b3|b4
125,b0|b1|b2|b3|b4
126,b0|b1|b2|b3|b4
127,b0|b1|b2|b3|b4
128,b3|b4
129,b0|b1|b2|b3|b4
130,b0|b1|b2|b3|b4
131,b0|b1|b2|b3|b4
132,b0|b1|b2|b3|b4
133,b0|b1|b2|b3|b4
134,b2|b3
135,b0|b1|b2|b3|b4
136,b1|b3
137,b0|b1|b2|b3|b4
138,b0|b1|b2|b3|b4
139,b0|b1|b2|b3|b4
140,b0|b1|b2|b3|b4
141,b0|b1|b2|b3
142,b0|b4
143,b0|b1|b2|b3|b4
144,b0|b1|b2|b3|b4
145,b0|b1|b2|b3|b4
146,b0|b1|b2|b3|b4
147,b0|b1|b2|b3|b4
148,b0|b1|b2|b3
149,b0
150,b0|b1|b2|b3|b4
151,b4
152,b0|b1|b2|b3|b4
153,b1|b2
154,b0|b1|b2|b3|b4
155,b2|b3|b4
156,b3
157,b0|b1|b2|b3|b4
158,b0|b2|b4
159,b0|b1|b2|b3|b4
160,b0|b1|b2|b3|b4
161,b0|b1|b2|b3
