row_id,winners
0,b0|b1|b2|b3|b4
1,b0|b1|b2|b3|b4
2,b0|b1|b2|b3|b4
3,b2|b3|b4
4,b2|b3|b4
5,b1|b2|b3|b4
6,b0|b1|b2|b3|b4
7,b0|b1|b2|b3|b4
8,b2|b3|b4
9,b0|b1|b2|b3|b4
10,b0|b1|b2|b3|b4
11,b0|b1|b2|b3|b4
12,b0|b1|b2|b3|b4
13,b0|b1|b2|b3|b4
14,b0|b1|b2|b3|b4
15,b0|b1|b2|b3|b4
16,b0|b1|b2|b3|b4
17,b0|b1|b2|b3|b4
18,b0|b1|b2|b3|b4
19,b0|b1|b2|b3|b4
20,b0|b1|b2|b3|b4
21,b1|b2|b3|b4
22,b0|b1|b2|b3|b4
23,b2|b3|b4
24,b0|b1|b2|b3|b4
25,b0|b1|b2|b3|b4
26,b2|b3|b4
27,b2|b3|b4
28,b2|b3|b4
29,b0|b1|b2|b3|b4
30,b0|b1|b2|b3|b4
31,b0|b1|b2|b3|b4
32,b0|b1|b2|b3|b4
33,b2|b3|b4
34,b0|b1|b2|b3|b4
35,b0|b1|b2|b3|b4
36,b0|b1|b2|b3|b4
37,b2|b3|b4
38,b0|b1|b2|b3|b4
39,b0|b1|b2|b3|b4
40,b0|b1|b2|b3|b4
41,b0|b1|b2|b3|b4
42,b2|b3|b4
43,b0|b1|b2|b3|b4
44,b0|b1|b2|b3|b4
45,b1|b2|b3|b4
46,b1|b2|b3|b4
47,b2|b3|b4
48,b0|b1|b2|b3|b4
49,b0|b1|b2|b3|b4
50,b0|b1|b2|b3|b4
51,b0|b1|b2|b3|b4
52,b0|b1|b2|b3|b4
53,b0|b1|b2|b3|b4
54,b0|b1|b2|b3|b4
55,b2|b3|b4
56,b0|b1|b2|b3|b4
57,b0|b1|b2|b3|b4
58,b0|b1|b2|b3|b4
59,b0|b1|b2|b3|b4
60,b0|b1|b2|b3|b4
61,b0|b1|b2|b3|b4
62,b2|b3|b4
63,b2|b3|b4
64,b0|b1|b2|b3|b4
65,b2|b3|b4
66,b0|b1|b2|b3|b4
67,b2|b3|b4
68,b0|b1|b2|b3|b4
69,b0|b1|b2|b3|b4
70,b0|b1|b2|b3|b4
71,b2|b3|b4
72,b0|b1|b2|b3|b4
73,b0|b1|b2|b3|b4
74,b2|b3|b4
75,b0|b1|b2|b3|b4
76,b0|b1|b2|b3|b4
77,b1|b2|b3|b4
78,b0|b1|b2|b3|b4
79,b0|b1|b2|b3|b4
80,b0|b1|b2|b3|b4
81,b0|b1|b2|b3|b4
82,b0|b1|b2|b3|b4
83,b1|b2|b3|b4
84,b2|b3|b4
85,b1|b2|b3|b4
86,b0|b1|b2|b3|b4
87,b0|b1|b2|b3|b4
88,b2|b3|b4
89,b0|b1|b2|b3|b4
90,b0|b1|b2|b3|b4
91,b0|b1|b2|b3|b4
92,b1|b2|b3|b4
93,b0|b1|b2|b3|b4
94,b0|b1|b2|b3|b4
95,b0|b1|b2|b3|b4
96,b0|b1|b2|b3|b4
97,b2|b3|b4
98,b0|b1|b2|b3|b4
99,b0|b1|b2|b3|b4
100,b0|b1|b2|b3|b4
101,b0|b1|b2|b3|b4
102,b2|b3|b4
103,b0|b1|b2|b3|b4
104,b0|b1|b2|b3|b4
105,b0|b1|b2|b3|b4
106,b0|b1|b2|b3|b4
107,b2|b3|b4
108,b2|b3|b4
109,b2|b3|b4
110,b1|b2|b3|b4
111,b0|b1|b2|b3|b4
112,b0|b1|b2|b3|b4
113,b1|b2|b3|b4
114,b0|b1|b2|b3|b4
115,b0|b1|b2|b3|b4
116,b0|b1|b2|b3|b4
117,b0|b1|b2|b3|b4
118,b0|b1|b2|b3|b4
119,b0|b1|b2|b3|b4
120,b0|b1|b2|b3|b4
121,b0|b1|b2|b3|b4
122,b0|b1|b2|b3|b4
123,b0|b1|b2|b3|b4
124,b0|b1|b2|b3|b4
125,b1|b2|b3|b4
126,b0|b1|b2|b3|b4
127,b2|b3|b4
128,b0|b1|b2|b3|b4
129,b0|b1|b2|b3|b4
130,b0|b1|b2|b3|b4
131,b0|b1|b2|b3|b4
132,b0|b1|b2|b3|b4
133,b0|b1|b2|b3|b4
134,b0|b1|b2|b3|b4
135,b0|b1|b2|b3|b4
136,b1|b2|b3|b4
137,b0|b1|b2|b3|b4
138,b0|b1|b2|b3|b4
139,b2|b3|b4
140,b1|b2|b3|b4
141,b0|b1|b2|b3|b4
142,b0|b1|b2|b3|b4
143,b0|b1|b2|b3|b4
144,b0|b1|b2|b3|b4
145,b0|b1|b2|b3|b4
146,b0|b1|b2|b3|b4
147,b1|b2|b3|b4
148,b0|b1|b2|b3|b4
149,b0|b1|b2|b3|b4
