dataset,0.1,0.3,0.5,0.7,0.9
7z,0.95,0.97,1.0,1.0,1.0
A2C_Acrobot,0.53,0.42,0.69,0.82,1.0
A2C_CartPole,0.57,0.75,0.92,0.93,0.97
Apache_AllMeasurements,0.020619,0.28866,0.453608,0.659794,0.979381
BDBC,0.41,0.9,0.98,1.0,1.0
BankChurners,0.95,0.95,1.0,1.0,1.0
Car_price_cleaned,0.79,1.0,1.0,1.0,1.0
Data_COVID19_Indonesia,0.99,1.0,0.99,0.99,1.0
FFM-1000-200-0,1.0,1.0,1.0,1.0,1.0
FFM-125-25-0,1.0,1.0,1.0,1.0,1.0
FFM-250-50-0,1.0,1.0,1.0,1.0,1.0
FFM-500-100-0,1.0,1.0,1.0,1.0,1.0
FM-500-100-0,1.0,1.0,1.0,1.0,1.0
FM-500-100-1,1.0,1.0,1.0,1.0,1.0
HSMGP_num,0.07,0.71,0.95,0.97,0.99
HSQLDB,0.43,0.96,1.0,1.0,1.0
Health-ClosedIssues0000,0.88,0.98,1.0,1.0,1.0
Health-ClosedIssues0001,0.5,0.64,0.71,0.8,0.89
Health-ClosedIssues0002,0.66,1.0,1.0,1.0,1.0
Health-ClosedIssues0003,0.86,0.99,0.96,0.98,0.98
Health-ClosedIssues0004,0.95,1.0,1.0,1.0,1.0
Health-ClosedIssues0005,0.85,0.96,0.98,0.99,0.99
Health-ClosedIssues0006,0.33,0.59,0.64,0.69,0.75
Health-ClosedIssues0007,1.0,0.99,1.0,1.0,1.0
Health-ClosedIssues0008,0.88,0.99,0.98,1.0,1.0
Health-ClosedIssues0009,0.98,1.0,0.99,1.0,1.0
Health-ClosedIssues0010,0.93,1.0,1.0,1.0,1.0
Health-ClosedIssues0011,0.7,0.71,0.72,0.69,0.72
Health-ClosedPRs0000,1.0,1.0,1.0,1.0,1.0
Health-ClosedPRs0002,0.69,0.7,0.7,0.71,1.0
Health-ClosedPRs0003,0.64,0.64,0.64,1.0,1.0
Health-ClosedPRs0004,0.9,0.94,0.94,0.95,0.99
Health-ClosedPRs0005,0.75,0.79,0.79,0.77,0.82
Health-ClosedPRs0006,0.95,0.95,0.95,0.97,0.98
Health-ClosedPRs0007,0.78,0.74,0.76,0.75,0.82
Health-ClosedPRs0008,1.0,1.0,1.0,1.0,1.0
Health-ClosedPRs0009,1.0,1.0,1.0,1.0,1.0
Health-ClosedPRs0010,1.0,1.0,1.0,1.0,1.0
Health-ClosedPRs0011,0.94,0.96,0.98,0.98,1.0
Health-Commits0000,0.99,1.0,1.0,1.0,1.0
Health-Commits0001,0.67,0.67,0.67,0.67,0.9
Health-Commits0002,0.99,0.99,1.0,1.0,1.0
Health-Commits0003,0.92,1.0,1.0,0.99,1.0
Health-Commits0004,0.16,0.17,0.23,0.28,0.99
Health-Commits0005,0.66,0.73,0.77,0.81,0.88
Health-Commits0006,0.85,0.99,0.99,0.99,1.0
Health-Commits0007,0.69,0.75,0.8,0.89,0.97
Health-Commits0008,0.98,1.0,1.0,1.0,1.0
Health-Commits0009,0.67,0.91,1.0,1.0,1.0
Health-Commits0010,0.71,0.82,0.83,0.84,0.91
Health-Commits0011,0.62,0.64,0.63,0.67,0.73
LLVM,0.51,0.93,0.92,0.91,0.99
Life_Expectancy_Data,0.03,0.5,0.68,0.77,0.85
Loan,1.0,1.0,1.0,1.0,1.0
Marketing_Analytics,1.0,1.0,1.0,1.0,1.0
Medical_Data_and_Hospital_Readmissions,0.0,0.0,0.0,0.0,0.02
PostgreSQL,0.0,0.01,0.18,0.39,0.81
SQL_AllMeasurements,0.05,0.43,0.63,0.71,0.81
SS-A,0.08,0.95,0.99,0.98,1.0
SS-B,0.21,0.54,0.93,0.97,1.0
SS-C,0.22,0.76,0.82,0.91,0.96
SS-D,0.030303,0.30303,0.727273,1.0,1.0
SS-E,0.33,0.76,0.94,0.99,1.0
SS-F,0.171717,0.525253,0.939394,1.0,1.0
SS-G,0.0,0.161616,0.69697,0.89899,1.0
SS-H,0.52,0.96,1.0,1.0,1.0
SS-I,0.58,0.87,1.0,1.0,1.0
SS-J,0.95,1.0,1.0,1.0,1.0
SS-K,0.57,0.89,0.98,0.99,1.0
SS-L,0.87,1.0,1.0,1.0,1.0
SS-M,0.0,0.85,0.99,0.98,0.98
SS-N,0.86,0.94,0.97,0.98,0.98
SS-O,0.39,0.74,0.86,0.92,1.0
SS-P,0.85,1.0,1.0,1.0,1.0
SS-Q,1.0,1.0,1.0,1.0,1.0
SS-R,0.96,1.0,1.0,1.0,1.0
SS-S,0.3,0.82,0.92,0.98,0.99
SS-T,0.48,0.59,0.93,1.0,1.0
SS-U,1.0,1.0,1.0,1.0,1.0
SS-V,0.98,1.0,1.0,1.0,1.0
SS-W,1.0,1.0,1.0,1.0,1.0
SS-X,0.97,1.0,1.0,1.0,1.0
Scrum100k,1.0,1.0,1.0,1.0,1.0
Scrum10k,1.0,1.0,1.0,1.0,1.0
Scrum1k,1.0,1.0,1.0,1.0,1.0
WA_Fn-UseC_-HR-Employee-Attrition,0.71,0.97,0.99,0.99,0.96
WA_Fn-UseC_-Telco-Customer-Churn,0.57,0.73,0.86,0.96,0.99
Wine_quality,0.12,0.89,0.91,0.89,0.86
X264_AllMeasurements,0.68,0.96,0.97,1.0,1.0
accessories,1.0,0.99,0.99,0.99,0.99
all_players,0.97,0.97,0.96,0.97,0.97
auto93,0.37,0.79,0.9,1.0,1.0
billing10k,1.0,1.0,1.0,1.0,1.0
coc1000,0.68,0.66,0.54,0.61,0.57
dataset120,0.38,0.31,0.37,0.36,0.46
dataset600,0.4,0.47,0.42,0.55,0.56
dconvert,0.89,1.0,1.0,1.0,1.0
deeparch,0.94,0.97,0.98,0.98,0.99
dress-up,1.0,0.96,0.97,1.0,1.0
exastencils,0.95,0.99,1.0,1.0,1.0
home_data_for_ml_course,0.92,0.98,1.0,1.0,1.0
javagc,0.0,0.88,0.95,1.0,1.0
nasa93dem,1.0,1.0,1.0,1.0,1.0
player_statistics_cleaned_final,0.0,0.0,0.02439,0.073171,0.097561
pom3a,0.32,0.45,0.49,0.5,0.56
pom3b,0.23,0.31,0.33,0.39,0.39
pom3c,0.9,0.9,0.85,0.91,0.91
pom3d,0.0,0.01,0.01,0.05,0.14
redis,0.02,0.07,0.34,0.6,0.82
rs-6d-c3_obj1,0.69,0.8,0.94,0.98,1.0
