row_id,winners
0,b4
1,b3|b4
2,b3|b4
3,b3|b4
4,b2|b3|b4
5,b1
6,b4
7,b1|b2|b3|b4
8,b3|b4
9,b3|b4
10,b1|b2|b3|b4
11,b2|b3|b4
12,b3|b4
13,b2
14,b4
15,b2|b3|b4
16,b2|b3|b4
17,b4
18,b4
19,b3|b4
20,b2|b3|b4
21,b3|b4
22,b3|b4
23,b3|b4
24,b3|b4
25,b2|b3
26,b3|b4
27,b2|b3|b4
28,b4
29,b2|b3|b4
30,b2|b3
31,b3|b4
32,b0|b1|b2|b3|b4
33,b3
34,b3|b4
35,b2|b3|b4
36,b0|b1|b3|b4
37,b0|b1
38,b2|b3|b4
39,b3|b4
40,b3|b4
41,b3|b4
42,b4
43,b4
44,b1
45,b2|b3|b4
46,b3
47,b0|b1
48,b1|b2|b3|b4
49,b1|b2|b3|b4
50,b3|b4
51,b4
52,b1|b2|b3|b4
53,b4
54,b2
55,b3|b4
56,b3|b4
57,b3|b4
58,b4
59,b3|b4
60,b3|b4
61,b1|b4
62,b1|b2|b3|b4
63,b1
64,b4
65,b4
66,b2|b3|b4
67,b3|b4
68,b3
69,b2
70,b3|b4
71,b4
72,b1|b2|b3
73,b2
74,b3
75,b4
76,b4
77,b0|b1
78,b3
79,b3|b4
80,b4
81,b4
82,b2|b3|b4
83,b4
84,b3|b4
85,b4
86,b2|b3|b4
87,b4
88,b4
89,b3|b4
90,b3|b4
91,b4
92,b3|b4
93,b4
94,b3|b4
95,b2|b3|b4
96,b3|b4
97,b4
98,b3|b4
99,b2|b3|b4
100,b3|b4
101,b2|b3|b4
102,b4
103,b2|b3|b4
104,b0|b1|b2|b3|b4
105,b2|b3|b4
106,b4
107,b3|b4
108,b2|b3|b4
109,b2|b4
110,b4
111,b3|b4
112,b1|b2|b3|b4
113,b0
114,b2|b3|b4
115,b1|b2|b3|b4
116,b2|b3|b4
117,b1|b3|b4
118,b0|b1|b2|b3
119,b4
120,b4
121,b3|b4
122,b3|b4
123,b0|b1|b2|b3|b4
124,b4
125,b3|b4
126,b3|b4
127,b4
128,b3|b4
129,b4
130,b4
131,b3|b4
132,b2
133,b4
134,b3|b4
135,b0
136,b0
137,b1|b2|b3|b4
138,b2|b3|b4
139,b4
140,b4
141,b0|b1|b2|b3|b4
142,b1|b4
143,b4
144,b0|b2
145,b4
146,b3|b4
147,b4
148,b4
149,b1|b2|b3|b4
150,b1|b2
151,b2
152,b3
153,b1|b2|b3|b4
154,b2|b3|b4
155,b4
156,b3|b4
157,b0
158,b1
159,b1|b2|b3|b4
160,b3|b4
161,b2|b4
162,b2|b3|b4
163,b4
164,b2|b3|b4
165,b2|b3|b4
166,b4
167,b3|b4
168,b3|b4
169,b1|b2|b3|b4
170,b4
171,b3|b4
172,b0|b1|b2|b3|b4
173,b4
174,b1
175,b3|b4
176,b3|b4
177,b1|b2|b3|b4
178,b3|b4
179,b4
180,b4
181,b1|b2|b3|b4
182,b3|b4
183,b1|b2|b3|b4
184,b2|b3|b4
185,b3|b4
186,b3|b4
187,b4
188,b3|b4
189,b3|b4
190,b3|b4
191,b3|b4
192,b0|b1|b2|b3
193,b4
194,b2
195,b4
196,b2|b3|b4
197,b1|b2|b3
198,b4
199,b0|b1
200,b4
201,b3|b4
202,b1|b2|b3|b4
203,b4
204,b2|b3|b4
205,b0
206,b3|b4
207,b3|b4
208,b2
209,b0|b1|b2|b3|b4
210,b3|b4
211,b2
212,b3|b4
213,b4
214,b3|b4
215,b1
216,b3|b4
217,b3|b4
218,b4
219,b1|b2
220,b4
221,b3|b4
222,b3
223,b2|b3|b4
224,b4
225,b4
226,b3|b4
227,b2
228,b2
229,b1|b3|b4
230,b1|b2
231,b4
232,b2
233,b4
234,b0|b1|b2|b3|b4
235,b2|b3|b4
236,b3|b4
237,b4
238,b4
239,b2|b3|b4
240,b2|b3|b4
241,b3|b4
242,b1
243,b3|b4
244,b3|b4
245,b3
246,b2|b3
247,b3|b4
248,b3|b4
249,b0|b1|b2|b3|b4
250,b4
251,b4
252,b2|b3|b4
253,b1|b2|b3
254,b4
255,b1|b3
256,b4
257,b2
258,b3|b4
259,b4
260,b3|b4
261,b1|b2|b3
262,b2
263,b2|b3|b4
264,b1|b2|b3|b4
265,b3
266,b4
267,b3|b4
268,b2|b3
269,b3|b4
270,b4
271,b3|b4
272,b3|b4
273,b0|b1
274,b4
275,b3|b4
276,b3|b4
277,b2|b3|b4
278,b4
279,b3|b4
280,b4
281,b1|b2|b3|b4
282,b3|b4
283,b3
284,b1
285,b4
286,b3|b4
287,b2|b3|b4
288,b2|b3|b4
289,b1
290,b4
291,b2|b3
292,b0
293,b4
294,b3
295,b4
296,b2|b3|b4
297,b3
298,b4
299,b2
300,b0|b1
301,b4
302,b2
303,b4
304,b1|b2|b3|b4
305,b4
306,b2|b3|b4
307,b4
308,b4
309,b4
310,b1|b2|b3|b4
311,b4
312,b0|b1
313,b4
314,b4
315,b3
316,b4
317,b1
318,b3|b4
319,b3|b4
320,b0|b1
321,b2
322,b1|b3
323,b1|b2
324,b2|b3|b4
325,b1|b2|b3|b4
326,b3|b4
327,b2
328,b3|b4
329,b4
330,b4
331,b2|b3|b4
332,b1
333,b3|b4
334,b2
335,b2
336,b4
337,b4
338,b2|b3|b4
339,b4
340,b3|b4
341,b3|b4
342,b2|b3|b4
343,b4
344,b4
345,b1
346,b2|b3|b4
347,b0|b3|b4
348,b4
349,b1|b2
350,b1
351,b0|b1|b2|b3|b4
352,b3|b4
353,b1
354,b4
355,b4
