row_id,winners
0,b2|b3|b4
1,b4
2,b1|b2|b3|b4
3,b3
4,b4
5,b2|b3|b4
6,b0|b1|b2|b3|b4
7,b4
8,b2|b3|b4
9,b3
10,b1|b2|b3|b4
11,b0
12,b3|b4
13,b3|b4
14,b2
15,b2|b3|b4
16,b4
17,b1|b2|b3|b4
18,b4
19,b1
20,b1|b2|b3|b4
21,b2
22,b2|b3
23,b4
24,b3
25,b2|b3|b4
26,b4
27,b4
28,b2|b3|b4
29,b3|b4
30,b4
31,b3
32,b4
33,b4
34,b3
35,b4
36,b4
37,b2|b3
38,b4
39,b3
40,b4
41,b4
42,b1|b2|b3|b4
43,b4
44,b2|b3|b4
45,b4
46,b1|b3|b4
47,b4
48,b1
49,b4
50,b2|b3|b4
51,b1|b2|b3|b4
52,b1|b2|b3|b4
53,b4
54,b3|b4
55,b1|b2
56,b3
57,b4
58,b4
59,b2|b3|b4
60,b4
61,b1|b2
62,b4
63,b4
64,b3
65,b2
66,b1|b3|b4
67,b3|b4
68,b3|b4
69,b4
70,b2
71,b2|b3|b4
72,b2|b3|b4
73,b1|b2|b3|b4
74,b3|b4
75,b1|b2|b3|b4
76,b3|b4
77,b4
78,b2|b3
79,b4
80,b4
81,b1|b2|b3|b4
82,b2|b3|b4
83,b2|b3
84,b3
85,b4
86,b3|b4
87,b2|b3|b4
88,b4
89,b1|b2|b3|b4
90,b4
91,b3|b4
92,b4
93,b4
94,b3|b4
95,b1|b2
96,b4
97,b1|b2|b3|b4
98,b3|b4
99,b2
100,b3|b4
101,b3
102,b4
103,b3|b4
104,b3
105,b1
106,b3|b4
107,b2
108,b3|b4
109,b4
110,b4
111,b2|b3|b4
112,b3|b4
113,b2|b3|b4
114,b3|b4
115,b4
116,b4
117,b2|b3|b4
118,b1|b2|b3|b4
119,b0|b1|b2|b3|b4
120,b1|b2|b3|b4
121,b1|b2|b3|b4
122,b0|b2|b3|b4
123,b1|b2|b3|b4
124,b4
125,b4
126,b1|b4
127,b3|b4
128,b2|b3
129,b2|b3|b4
130,b1|b4
131,b3|b4
132,b1|b4
133,b2|b3
134,b1|b2|b3|b4
135,b3
136,b2|b3|b4
137,b0|b1
138,b3
139,b3|b4
140,b4
141,b3|b4
142,b3|b4
143,b1
144,b1
145,b4
146,b3|b4
147,b4
148,b3|b4
149,b4
150,b3|b4
151,b2|b3
152,b2
153,b0|b1|b2|b3|b4
154,b1|b3|b4
155,b2|b3|b4
156,b4
157,b3|b4
158,b4
159,b3|b4
160,b3|b4
161,b4
162,b1
163,b4
164,b3|b4
165,b1|b2|b3
166,b2|b4
167,b4
168,b2
169,b0|b2|b3|b4
170,b2|b3|b4
171,b3|b4
172,b2
173,b2|b3|b4
174,b4
175,b4
176,b3
177,b3|b4
178,b4
179,b3
180,b0|b2|b3|b4
181,b4
182,b4
183,b4
184,b4
185,b2
186,b1|b2
187,b3|b4
188,b3|b4
189,b3|b4
190,b4
191,b4
192,b0
193,b3|b4
194,b1|b4
195,b3|b4
196,b2
197,b0|b1|b3|b4
198,b4
199,b4
200,b2|b3|b4
201,b2|b3|b4
202,b4
203,b1
204,b4
205,b1|b2
206,b2|b3|b4
207,b3|b4
208,b4
209,b3|b4
210,b2
211,b2|b4
212,b3|b4
213,b3|b4
214,b4
215,b1
216,b4
217,b4
218,b4
219,b4
220,b4
221,b4
222,b4
223,b3|b4
224,b4
225,b4
226,b4
227,b2|b3|b4
228,b2
229,b3|b4
230,b4
231,b1|b2|b3|b4
232,b4
233,b4
234,b3|b4
235,b4
236,b3|b4
237,b2|b3|b4
238,b4
239,b1|b2|b3
240,b2|b3|b4
241,b4
242,b4
243,b4
244,b2|b3|b4
245,b3|b4
246,b4
247,b4
248,b3
249,b2|b3|b4
250,b1|b3|b4
251,b4
252,b2|b3
253,b4
254,b4
255,b2
256,b0
257,b3|b4
258,b4
259,b2
260,b4
261,b3|b4
262,b4
263,b1|b2|b3
264,b2
265,b0|b1
266,b2|b3
267,b3
268,b4
269,b3|b4
270,b1|b2|b3|b4
271,b3|b4
272,b4
273,b3|b4
274,b4
275,b2
276,b3|b4
277,b4
278,b3|b4
279,b3
280,b4
281,b4
282,b3|b4
283,b3|b4
284,b3|b4
285,b3
286,b3|b4
287,b4
288,b4
289,b2
290,b4
291,b2
292,b2|b3|b4
293,b4
294,b3|b4
295,b1|b2|b3|b4
296,b1|b2|b3|b4
297,b4
298,b2|b3
299,b2|b3|b4
300,b2|b3|b4
301,b4
302,b1|b3
303,b2|b3|b4
304,b4
305,b4
306,b1|b2|b3|b4
307,b1
308,b1|b2|b3|b4
309,b4
310,b1
311,b4
312,b4
313,b4
314,b1
315,b3|b4
316,b2|b3
317,b1|b2|b3
318,b2
319,b3|b4
320,b3|b4
321,b3
322,b4
323,b4
324,b4
325,b1|b2|b3|b4
326,b3|b4
327,b1|b2|b3|b4
328,b3|b4
329,b2|b3
330,b2|b3|b4
331,b4
332,b4
333,b4
334,b2|b3|b4
335,b1|b3|b4
336,b4
337,b0
338,b3|b4
339,b4
340,b2|b3|b4
341,b1|b2|b3|b4
342,b1
343,b4
344,b3|b4
345,b2|b3
346,b2|b3|b4
347,b3|b4
348,b1|b2|b3|b4
349,b1|b2|b3
350,b1|b3|b4
351,b2
352,b4
353,b2
354,b4
355,b4
356,b2
357,b4
358,b4
359,b1
360,b1|b2|b3|b4
361,b0|b1|b2|b3|b4
362,b2
363,b2
364,b4
365,b1|b2|b3|b4
366,b1
367,b3
368,b2
369,b2|b3|b4
370,b4
371,b4
372,b4
373,b4
374,b4
375,b4
376,b1|b3|b4
377,b2|b3
378,b3|b4
379,b3|b4
380,b4
381,b1|b2|b3|b4
382,b2|b3|b4
383,b4
384,b2
385,b4
386,b2
387,b3|b4
388,b4
389,b2|b3
390,b4
391,b1|b2|b3|b4
392,b2
393,b4
394,b3|b4
395,b1
396,b4
397,b3|b4
398,b3|b4
399,b3
400,b1|b2|b3|b4
401,b3|b4
402,b2|b3
403,b3|b4
404,b4
405,b4
406,b1
407,b4
408,b4
409,b1|b2|b3|b4
410,b2
411,b3|b4
412,b3|b4
413,b4
414,b1
415,b3|b4
416,b1|b2
417,b4
418,b2
419,b4
420,b4
421,b4
