row_id,winners
0,b1|b2|b3|b4
1,b2
2,b1|b2|b3
3,b1|b2|b3
4,b4
5,b2|b3|b4
6,b1|b2|b3|b4
7,b2|b3|b4
8,b1|b2|b3|b4
9,b2
10,b4
11,b0|b1|b2|b3|b4
12,b2
13,b4
14,b1|b2|b3
15,b1|b2
16,b1|b2|b3|b4
17,b1|b2|b3|b4
18,b4
19,b1|b2|b3|b4
20,b1|b2
21,b3|b4
22,b4
23,b1|b2|b3
24,b1|b3
25,b1|b2|b3|b4
26,b1|b2
27,b1|b2|b3|b4
28,b4
29,b1|b2|b3|b4
30,b1|b2|b3|b4
31,b1|b2|b3|b4
32,b3
33,b2|b3
34,b4
35,b3
36,b4
37,b3
38,b4
39,b2|b3|b4
40,b1|b2|b3
41,b2|b4
42,b1|b2|b3|b4
43,b2
44,b1|b2
45,b4
46,b3|b4
47,b4
48,b3
49,b1|b2|b3|b4
50,b4
51,b4
52,b2
53,b3
54,b4
55,b1|b2|b3
56,b1|b2|b3|b4
57,b2|b3
58,b2|b3|b4
59,b1
60,b2|b3
61,b1
62,b1|b2
63,b3|b4
64,b1|b2|b4
65,b1|b2|b3|b4
66,b2|b3
67,b1|b2
68,b1|b3|b4
69,b1|b2|b3|b4
70,b1|b2
71,b2|b3|b4
72,b1|b2|b3|b4
73,b4
74,b2
75,b2|b3|b4
76,b1|b2|b3|b4
77,b1|b2|b3|b4
78,b4
79,b1|b2|b3|b4
80,b1|b2
81,b2|b3
82,b3|b4
83,b1|b2|b3
84,b1|b2|b3|b4
85,b2|b4
86,b1
87,b3|b4
88,b2|b3
89,b1|b2|b3|b4
90,b1|b2
91,b3|b4
92,b2|b3|b4
93,b2
94,b2|b3
95,b1|b2|b3|b4
96,b1|b2|b3|b4
97,b1|b2|b3
98,b4
99,b1|b2|b4
100,b4
101,b1|b2|b3|b4
102,b1|b2
103,b2
104,b0|b1|b2|b3
105,b1
106,b1|b2|b3|b4
107,b1|b2|b3|b4
108,b1|b2|b3|b4
109,b4
110,b1|b2|b3
111,b4
112,b2|b3|b4
113,b1
114,b1
115,b1
116,b0
117,b1|b2|b3|b4
118,b2|b3|b4
119,b1|b2|b3|b4
120,b2|b3|b4
121,b1|b2|b3|b4
122,b1|b2
123,b3
124,b1|b2|b3|b4
125,b1|b2|b3|b4
126,b1|b2|b3
127,b1|b3|b4
128,b2
129,b1|b2|b3|b4
130,b4
131,b3|b4
132,b1|b2|b3|b4
133,b1
134,b4
135,b3|b4
136,b4
137,b1|b2|b3|b4
138,b1|b2|b3|b4
139,b2|b3|b4
140,b3|b4
141,b1|b2|b3
142,b1|b2
143,b1|b3
144,b1|b2|b3|b4
145,b3|b4
146,b2|b3
147,b1|b3
148,b4
149,b1|b2|b3|b4
150,b4
151,b1|b2|b3|b4
152,b1|b2|b3|b4
153,b1|b2|b3|b4
154,b2
155,b1|b4
156,b1|b2|b3|b4
157,b1|b2|b3|b4
158,b4
159,b3
160,b2|b3|b4
161,b4
162,b1|b2|b3|b4
163,b4
164,b1|b2|b3|b4
165,b4
166,b1|b2|b3|b4
167,b4
168,b1
169,b1|b2|b3|b4
170,b4
171,b1|b2|b3
172,b1
173,b1|b2|b3|b4
174,b1|b2|b3
175,b3|b4
176,b3
177,b1|b2
178,b2|b3
179,b1|b2
180,b2
181,b1|b3|b4
182,b1|b2
183,b3|b4
184,b3|b4
185,b1|b2|b4
186,b2|b3|b4
187,b1|b2|b3|b4
188,b1|b2|b3|b4
189,b2|b3|b4
190,b1|b2|b3
191,b4
192,b1|b2|b3|b4
193,b4
194,b1|b2|b3
195,b1|b2|b3|b4
196,b1|b2|b3|b4
197,b3
198,b1|b2
199,b1|b3|b4
200,b1|b2
201,b2|b3
202,b1|b2|b3|b4
203,b4
204,b4
205,b2
206,b1|b2|b3|b4
207,b4
208,b1|b2|b3|b4
209,b1|b2|b3|b4
210,b1|b2|b3|b4
211,b1|b2|b3|b4
212,b3|b4
213,b0|b1|b2|b3|b4
214,b4
215,b2
216,b1|b2|b4
217,b3|b4
218,b3
219,b1
220,b3|b4
221,b1|b2|b3|b4
222,b1|b2|b3|b4
223,b1|b2|b3
224,b2|b3|b4
225,b4
226,b1|b2|b3|b4
227,b1|b2|b3|b4
228,b1|b2|b3|b4
229,b1|b2|b4
230,b1|b2|b3|b4
231,b1|b2
232,b1|b2|b3|b4
233,b1|b2|b4
234,b4
235,b1|b2|b3|b4
236,b1|b2|b3|b4
237,b1
238,b1|b2|b3|b4
239,b3
240,b4
241,b2|b3|b4
242,b4
243,b1|b2|b3|b4
244,b1|b2|b3|b4
245,b1|b2|b3|b4
246,b1|b2|b3|b4
247,b2|b4
248,b1
249,b1|b2|b3|b4
250,b1|b2|b3|b4
251,b1|b2|b3|b4
252,b1|b4
253,b3
254,b1|b2
255,b0
256,b3
257,b3|b4
258,b1|b2|b3|b4
259,b1|b2|b3|b4
260,b4
261,b1|b2
262,b4
263,b1|b2|b3|b4
264,b2|b3
265,b1|b2|b3|b4
266,b1|b2|b3
267,b2|b3|b4
268,b3
269,b1|b2|b4
270,b4
271,b1|b2|b3|b4
272,b1|b2|b3|b4
273,b1|b4
274,b1|b2|b3|b4
275,b4
276,b2|b3|b4
277,b1|b2|b3|b4
278,b1|b2|b3|b4
279,b1|b2|b3|b4
280,b1|b2|b3|b4
281,b1|b3
282,b2|b4
283,b1|b2|b3|b4
284,b4
285,b4
286,b1|b2|b3|b4
