row_id,winners
0,b4
1,b3|b4
2,b3|b4
3,b3
4,b4
5,b3|b4
6,b3|b4
7,b3|b4
8,b4
9,b3|b4
10,b4
11,b4
12,b0
13,b2|b4
14,b3|b4
15,b4
16,b4
17,b3|b4
18,b0|b1|b2|b3|b4
19,b0
20,b2|b3
21,b3
22,b3|b4
23,b4
24,b3|b4
25,b3|b4
26,b4
27,b3|b4
28,b4
29,b4
30,b1|b2|b3|b4
31,b3|b4
32,b3|b4
33,b3|b4
34,b0|b1|b2|b3
35,b4
36,b3|b4
37,b0
38,b3|b4
39,b3|b4
40,b1|b3
41,b3|b4
42,b3|b4
43,b3|b4
44,b3|b4
45,b3|b4
46,b3|b4
47,b3|b4
48,b3|b4
49,b3|b4
50,b4
51,b3|b4
52,b4
53,b4
54,b3|b4
55,b4
56,b3|b4
57,b3|b4
58,b3|b4
59,b0|b1|b2|b3|b4
60,b3|b4
61,b3|b4
62,b4
63,b4
64,b3|b4
65,b2|b3|b4
66,b4
67,b4
68,b4
69,b3|b4
70,b3|b4
71,b3|b4
72,b3|b4
73,b3|b4
74,b2|b3|b4
75,b3|b4
76,b3|b4
77,b3|b4
78,b4
79,b4
80,b4
81,b3|b4
82,b3|b4
83,b3|b4
84,b3|b4
85,b3|b4
86,b2|b3
87,b1|b2|b3|b4
88,b3|b4
89,b3|b4
90,b3|b4
91,b4
92,b4
93,b3|b4
94,b4
95,b3|b4
96,b0|b1|b2
97,b4
98,b3|b4
99,b4
100,b3
101,b3|b4
102,b3|b4
103,b4
104,b4
105,b4
106,b3|b4
107,b0|b1
108,b1|b2
109,b4
110,b3|b4
111,b1|b2|b3|b4
112,b3|b4
113,b1
114,b2|b3|b4
115,b3|b4
116,b1|b2|b4
117,b4
118,b4
119,b3|b4
120,b1|b2|b3|b4
121,b4
122,b3|b4
123,b4
124,b3|b4
125,b4
126,b3|b4
127,b4
128,b4
129,b4
130,b3|b4
131,b3|b4
132,b0|b2|b3|b4
133,b3
134,b4
135,b1|b3|b4
136,b4
137,b4
138,b2|b3|b4
139,b4
140,b3|b4
141,b3|b4
142,b4
143,b4
144,b3
145,b3|b4
146,b3|b4
147,b4
148,b4
149,b3|b4
150,b3|b4
151,b0|b1|b2|b3|b4
152,b1|b2
153,b1|b2|b3
154,b4
155,b4
156,b3|b4
157,b3|b4
158,b4
159,b4
160,b4
161,b3|b4
162,b4
163,b3|b4
164,b3|b4
165,b4
166,b3
167,b3|b4
168,b3|b4
169,b0
170,b4
171,b1|b2
172,b4
173,b0|b1
174,b3|b4
175,b2|b3|b4
176,b0
177,b0
178,b3|b4
179,b3|b4
180,b4
181,b4
182,b3|b4
183,b3
184,b3|b4
185,b3|b4
186,b1|b2|b3|b4
187,b0
188,b4
189,b3|b4
190,b3|b4
191,b4
192,b3|b4
193,b4
194,b4
195,b1|b2|b3|b4
196,b3|b4
197,b1|b2
198,b2|b3|b4
199,b3|b4
200,b4
201,b3|b4
202,b3|b4
203,b3|b4
204,b1
205,b1|b2|b3|b4
206,b3|b4
207,b4
208,b4
209,b2|b3|b4
210,b3
211,b0|b3|b4
212,b4
213,b3|b4
214,b3|b4
215,b3|b4
216,b4
217,b1
218,b3|b4
219,b2|b3
220,b3|b4
221,b3|b4
222,b2|b3|b4
223,b3|b4
224,b4
225,b3|b4
226,b3|b4
227,b0|b2
228,b3|b4
229,b4
230,b1|b2|b3|b4
231,b2|b3|b4
232,b4
233,b1
234,b3|b4
235,b3|b4
236,b3|b4
237,b3|b4
238,b3|b4
239,b3|b4
240,b3|b4
241,b3|b4
242,b3|b4
243,b4
244,b4
245,b3|b4
246,b3|b4
247,b4
248,b1|b2
249,b3|b4
250,b3|b4
251,b2
252,b0|b1|b2|b3
253,b1|b2|b3|b4
254,b3|b4
255,b3|b4
256,b4
257,b3
258,b3|b4
259,b4
260,b3|b4
261,b3|b4
262,b2|b3|b4
263,b3|b4
264,b4
265,b3|b4
266,b3|b4
267,b3|b4
268,b4
269,b3|b4
270,b3|b4
271,b0|b1|b2
272,b1|b2
273,b3|b4
274,b4
275,b4
276,b3|b4
277,b4
278,b3|b4
279,b3|b4
280,b4
281,b4
282,b2|b3|b4
283,b3|b4
284,b2|b3
285,b4
286,b0
287,b4
288,b1|b2|b3|b4
289,b3|b4
290,b3|b4
291,b3|b4
292,b3|b4
293,b2|b3|b4
294,b4
295,b2
296,b4
297,b4
298,b1|b2|b3|b4
299,b4
300,b3|b4
301,b3|b4
302,b3|b4
303,b3|b4
304,b0|b1|b2|b3|b4
305,b4
306,b3|b4
307,b1
308,b3|b4
309,b4
310,b3|b4
311,b4
312,b4
313,b4
314,b3|b4
315,b2|b3
316,b3|b4
317,b3|b4
318,b4
319,b0|b1|b2|b3|b4
320,b3|b4
321,b4
322,b3|b4
323,b4
324,b0|b1|b2
325,b3|b4
326,b3|b4
327,b2|b3
328,b0
329,b0|b1|b2|b3|b4
330,b3|b4
331,b2|b3|b4
332,b3|b4
333,b3|b4
334,b4
335,b3|b4
336,b3|b4
337,b3|b4
338,b4
339,b3|b4
340,b3|b4
341,b3|b4
342,b4
343,b4
344,b3|b4
345,b3|b4
346,b4
347,b3|b4
348,b1|b2|b3|b4
349,b3
350,b3|b4
351,b3|b4
352,b3|b4
353,b2|b3|b4
354,b3|b4
355,b3|b4
356,b3
357,b3|b4
358,b3|b4
359,b3|b4
360,b3|b4
361,b3|b4
362,b4
363,b3|b4
364,b2|b4
365,b3|b4
366,b2|b3|b4
367,b3|b4
368,b3|b4
369,b3|b4
