row_id,winners
0,b2|b3|b4
1,b2|b3|b4
2,b2|b3|b4
3,b0|b1|b2|b3|b4
4,b1|b4
5,b0|b1|b2|b3|b4
6,b3
7,b4
8,b1|b2|b3|b4
9,b2
10,b1
11,b1|b2|b3|b4
12,b4
13,b1|b2|b3|b4
14,b2|b4
15,b3|b4
16,b1|b2
17,b1|b2|b3|b4
18,b4
19,b0|b1|b2|b3|b4
20,b0|b1|b2|b3|b4
21,b1|b2|b3|b4
22,b1|b2|b3|b4
23,b4
24,b2
25,b0|b1|b2|b3|b4
26,b1|b3|b4
27,b3|b4
28,b0|b1|b2|b3|b4
29,b0|b1|b2|b3|b4
30,b3|b4
31,b3|b4
32,b0|b1|b2|b3|b4
33,b0|b1|b2|b3|b4
34,b3|b4
35,b3
36,b1|b2
37,b3|b4
38,b4
39,b2|b3|b4
40,b3|b4
41,b1|b3|b4
42,b3
43,b2|b4
44,b1|b2|b3|b4
45,b3|b4
46,b4
47,b0|b3|b4
48,b0|b1|b2|b4
49,b2|b4
50,b3
51,b4
52,b4
53,b2|b3|b4
54,b1|b2|b3|b4
55,b1|b2|b3
56,b0|b1|b2|b3|b4
57,b2|b3|b4
58,b4
59,b2|b3|b4
60,b1|b2|b3|b4
61,b3|b4
62,b4
63,b3|b4
64,b3
65,b2|b3|b4
66,b1
67,b1|b2|b3|b4
68,b3|b4
69,b2
70,b2|b3|b4
71,b0|b1|b2
72,b4
73,b2|b3|b4
74,b0|b1|b2|b3|b4
75,b1|b3|b4
76,b2|b3|b4
77,b0|b1|b2|b3|b4
78,b1
79,b3|b4
80,b4
81,b1|b2
82,b0|b1|b2|b3|b4
83,b3|b4
84,b4
85,b4
86,b0|b1|b2|b3|b4
87,b0|b1|b2|b3|b4
88,b1|b3|b4
89,b0|b1|b2|b3|b4
90,b2|b3|b4
91,b0|b1|b2|b3|b4
92,b4
93,b2|b4
94,b1|b2|b3|b4
95,b2|b3|b4
96,b1|b2|b3|b4
97,b2|b3|b4
98,b0|b1|b2|b3|b4
99,b2|b3|b4
100,b1|b2|b3|b4
101,b1|b2|b3
102,b1|b3
103,b0|b1|b2|b3|b4
104,b2|b3|b4
105,b0|b1|b2|b4
106,b1|b2|b3|b4
107,b1|b2|b3|b4
108,b1|b2|b3|b4
109,b0|b1
110,b4
111,b2|b4
112,b1|b2|b3|b4
113,b3|b4
114,b1|b2|b3|b4
115,b4
116,b2
117,b4
118,b4
119,b1|b2|b3
120,b4
121,b3|b4
122,b1
123,b1|b2
124,b2|b3|b4
125,b1|b4
126,b3|b4
127,b1|b3|b4
128,b2|b3|b4
129,b4
130,b2
131,b1|b2|b3|b4
132,b4
133,b4
134,b2|b3|b4
135,b4
136,b0|b2
137,b0|b1|b2|b3|b4
138,b0|b1|b2|b3|b4
139,b3|b4
140,b4
141,b0|b1|b2|b3|b4
142,b1|b2|b3
143,b2|b3
144,b3|b4
145,b1|b3|b4
146,b1|b2|b3|b4
147,b1|b3
148,b1|b2|b3|b4
149,b1|b2|b3
150,b1
151,b3
152,b1|b2|b3
153,b4
154,b3|b4
155,b3|b4
156,b2|b3|b4
157,b1|b2|b3|b4
158,b1
159,b1|b2|b3|b4
160,b0|b1|b2|b3|b4
161,b2|b3|b4
162,b4
163,b0|b1|b2|b3|b4
164,b0
165,b3|b4
166,b2|b3
167,b3
168,b0|b1|b2|b3|b4
169,b2|b3|b4
170,b4
171,b1|b2|b3|b4
172,b1|b2|b3|b4
173,b1|b2|b3|b4
174,b4
175,b1|b2|b3|b4
176,b2|b3|b4
177,b0|b1|b2|b3
178,b4
179,b4
180,b2|b3|b4
181,b4
182,b3|b4
183,b3|b4
184,b3|b4
185,b1|b2|b3|b4
186,b1|b2
187,b3
188,b4
189,b2
190,b1|b3|b4
191,b2|b3|b4
192,b2|b3|b4
193,b4
194,b0|b1|b2|b3|b4
195,b1
196,b1|b2|b3|b4
197,b1|b2|b3|b4
198,b1|b2|b3|b4
199,b4
200,b1|b2
201,b3|b4
202,b1|b2|b3|b4
203,b2|b3|b4
204,b2|b4
205,b3
206,b4
207,b0|b1|b3|b4
208,b0|b1|b3|b4
209,b0|b3|b4
210,b0|b1|b2|b3|b4
211,b1|b2|b3|b4
212,b1|b3|b4
213,b4
214,b0|b2|b3|b4
215,b3|b4
216,b4
217,b3
218,b2|b3|b4
219,b1|b2|b3|b4
220,b1|b2
221,b0|b1|b2|b3|b4
222,b2|b3|b4
223,b0|b1|b2|b3|b4
224,b0|b1|b2|b3|b4
225,b1|b3|b4
226,b3|b4
227,b1|b3|b4
228,b4
229,b2|b3|b4
230,b1|b4
231,b2|b3|b4
232,b3|b4
233,b2|b3|b4
234,b0|b1|b2|b3|b4
235,b2|b3|b4
236,b0|b1|b2|b3|b4
237,b2
238,b4
239,b2|b4
240,b2|b3|b4
241,b0|b1|b2|b3|b4
242,b2|b3|b4
243,b2|b4
244,b2
245,b1|b3|b4
246,b0|b1|b2|b3|b4
247,b0|b1|b2|b3|b4
248,b1|b2|b3|b4
249,b3|b4
250,b1
251,b4
252,b1|b2|b4
253,b1
254,b0|b1|b2|b3|b4
255,b4
256,b2|b4
257,b0|b1|b2|b3|b4
258,b4
259,b0|b1|b2|b3|b4
260,b2|b3
261,b1|b2|b3|b4
262,b2|b3
263,b4
264,b1|b2|b3|b4
265,b4
266,b3|b4
267,b1|b2|b3|b4
268,b0|b1|b2|b3|b4
269,b2|b3|b4
270,b1|b2
271,b2
272,b1|b2|b3|b4
273,b2|b3|b4
274,b3|b4
275,b3|b4
276,b4
277,b4
278,b3
279,b1|b2
280,b1|b2|b3
281,b4
282,b2
283,b4
284,b0|b1|b2
285,b1|b3|b4
286,b0|b1|b3|b4
287,b4
288,b3
289,b4
290,b1
291,b1|b2|b3
292,b3|b4
293,b3|b4
294,b3|b4
295,b0|b2
296,b1|b2|b3|b4
297,b4
298,b3|b4
299,b4
300,b3|b4
301,b1|b2|b3|b4
302,b2|b3
303,b3|b4
304,b2|b3
305,b4
306,b3|b4
307,b4
308,b2|b3|b4
309,b3|b4
310,b1|b2|b3|b4
311,b1|b2
312,b3|b4
313,b2
314,b2|b3|b4
315,b2|b3|b4
316,b1|b2|b3|b4
317,b2|b3|b4
318,b3
319,b3|b4
320,b3|b4
321,b3|b4
322,b0|b1|b2|b3
323,b4
324,b3|b4
325,b2|b3|b4
326,b1|b2|b3|b4
327,b2
328,b3|b4
329,b4
330,b4
331,b1|b2|b3|b4
332,b2|b3|b4
333,b0|b1|b2|b3|b4
334,b3
335,b4
336,b1|b4
337,b0|b1|b2|b3|b4
338,b0|b1|b2|b3|b4
339,b1|b2|b3|b4
340,b2|b3
341,b0|b1|b2|b3|b4
342,b4
343,b3|b4
344,b0|b1|b2|b3|b4
345,b2|b3|b4
346,b3
347,b1|b2|b3
348,b4
349,b2|b3|b4
350,b1|b2|b3|b4
351,b0|b2
352,b2|b3|b4
353,b3
354,b2|b4
355,b1|b2
356,b0|b2|b4
357,b1
358,b0|b1|b2|b3|b4
359,b2
360,b2|b3|b4
361,b0|b1|b2
362,b2|b3|b4
363,b4
364,b1|b2
365,b3|b4
366,b2
367,b2|b3|b4
368,b2|b3|b4
369,b4
370,b2|b3|b4
371,b3|b4
372,b2|b3|b4
373,b0|b1|b2|b3|b4
374,b1|b2|b3
375,b4
376,b2|b3|b4
377,b4
