row_id,winners
0,b1|b2|b3|b4
1,b4
2,b0|b1|b2|b3|b4
3,b0|b2|b3|b4
4,b2|b3|b4
5,b0|b1|b2|b3|b4
6,b0|b1|b2
7,b0|b1|b2|b3|b4
8,b0|b1|b2|b3|b4
9,b0|b3|b4
10,b0|b1|b2|b3|b4
11,b0|b1
12,b0|b3
13,b0|b2|b3
14,b0
15,b1
16,b0|b1|b3
17,b3|b4
18,b2|b4
19,b0|b1|b2|b3|b4
20,b0|b1|b2|b3|b4
21,b0|b1|b2|b3|b4
22,b0|b1|b2
23,b2|b3|b4
24,b0|b1
25,b1|b2|b3|b4
26,b0|b1|b2|b3|b4
27,b0|b1|b2|b3|b4
28,b0|b3
29,b0|b1|b2|b3|b4
30,b4
31,b0|b2|b3
32,b0|b1|b2|b3|b4
33,b0|b1|b2|b3|b4
34,b3
35,b0|b1|b2|b3|b4
36,b0|b1
37,b0|b1|b2|b3|b4
38,b0|b1|b2|b3|b4
39,b0|b1|b2|b3|b4
40,b0|b1|b2|b3|b4
41,b0
42,b1|b2|b4
43,b4
44,b0|b2|b3
45,b0|b1|b2|b3|b4
46,b0|b1|b2|b3|b4
47,b0|b1|b2|b3
48,b0|b1|b4
49,b0|b1|b2|b3|b4
50,b2|b3
51,b2
52,b0|b1|b2|b3|b4
53,b0|b1|b2|b3|b4
54,b0
55,b0|b1|b2|b3|b4
56,b0|b1|b2|b3|b4
57,b4
58,b1|b2
59,b0|b1|b2|b3|b4
60,b0|b1|b2|b3|b4
61,b0|b1|b2|b3|b4
62,b0|b1|b2|b3|b4
63,b0|b1
64,b0|b1|b2|b3|b4
65,b1|b2|b3
66,b1|b2|b4
67,b0|b1|b2|b3|b4
68,b0|b1|b2|b3|b4
69,b0|b1|b2|b3|b4
70,b3|b4
71,b0|b1|b2|b3|b4
72,b0
73,b1
74,b0
75,b0|b1|b2|b3|b4
76,b1
77,b0|b1|b4
78,b0|b2
79,b1|b4
80,b0|b1|b2|b3|b4
81,b0|b1|b2|b3|b4
82,b0|b1|b2|b3|b4
83,b0|b1|b2|b3|b4
84,b0|b1|b2|b3|b4
85,b0|b1|b2|b3|b4
86,b0|b1|b2|b3|b4
87,b4
88,b0|b1|b2|b3|b4
89,b0|b1|b2|b3|b4
90,b1|b2
91,b0|b1|b2|b3|b4
92,b3|b4
93,b0|b1|b2|b3|b4
94,b3|b4
95,b0|b1|b2|b3|b4
96,b0|b1
97,b0|b1|b2|b3|b4
98,b1
99,b4
100,b4
101,b1|b2
102,b0|b1
103,b0|b1|b2|b3|b4
104,b0|b1|b2|b3|b4
105,b0|b1|b4
106,b0|b1|b2|b3|b4
107,b0|b1|b2|b3|b4
108,b4
109,b0|b1|b2
110,b4
111,b0|b1|b2|b3|b4
112,b4
113,b4
114,b0|b2
115,b2|b3|b4
116,b0|b1|b2|b4
117,b0|b1|b2|b3|b4
118,b2|b3|b4
119,b0|b1|b2|b3|b4
120,b0|b1|b2|b3
121,b0|b1|b2|b3|b4
122,b0|b1|b2|b3|b4
123,b0|b1|b2|b3|b4
124,b2
125,b2|b3|b4
126,b1|b2|b3|b4
127,b0|b1|b2|b3|b4
128,b0
129,b0|b1|b2|b3|b4
130,b0|b1|b2|b3|b4
131,b0|b1|b2|b3|b4
132,b0|b1|b2|b3|b4
133,b0|b3
134,b0|b1|b2|b3|b4
135,b3|b4
136,b2|b3
137,b3|b4
138,b2
139,b2
140,b0|b1|b2|b3|b4
141,b0|b1|b2|b3|b4
142,b1|b2|b3|b4
143,b2
144,b1|b3
145,b0|b1|b2|b3|b4
146,b0|b1|b2|b3|b4
147,b0|b1|b2|b3|b4
148,b1|b2|b3|b4
149,b0|b1|b2|b4
150,b4
151,b0|b1|b2
152,b4
153,b0|b1|b2|b3|b4
154,b1|b3|b4
155,b0
156,b0|b1|b2|b3|b4
157,b0|b1|b2
158,b0|b1|b2|b3
159,b0|b1|b2|b3|b4
160,b2|b3|b4
161,b0|b4
162,b0|b1|b2|b3|b4
163,b4
164,b0|b1|b2|b3|b4
165,b1|b2|b4
166,b1|b4
167,b4
168,b0|b2
169,b2|b4
170,b2|b3|b4
171,b2|b3
172,b0|b1|b2|b3|b4
173,b4
174,b0
175,b0|b1|b2|b3|b4
176,b0|b1|b2|b3|b4
177,b0|b1|b2|b3|b4
178,b0|b1|b2|b3|b4
179,b0|b1|b2|b3|b4
180,b0|b2
181,b3|b4
182,b0|b1|b2|b3|b4
183,b0|b1
184,b0
185,b0|b2|b3|b4
186,b0|b1|b2|b3|b4
187,b0
188,b0|b1|b4
189,b4
190,b3|b4
191,b1
192,b0|b2|b3
193,b1|b2
194,b0|b1|b2|b3|b4
195,b0|b1|b2|b3|b4
196,b0|b1|b2|b3|b4
197,b2
198,b0|b1|b2|b3|b4
199,b0|b1
200,b0|b1|b3|b4
201,b0|b1|b2|b3|b4
202,b1|b4
203,b0|b3
204,b0|b1|b2|b3|b4
205,b1|b2|b3
206,b0|b1|b2|b3|b4
207,b0|b1|b2|b3|b4
208,b0|b1|b2|b3|b4
209,b0|b1|b2|b3|b4
210,b2
211,b0|b1|b2|b3|b4
212,b0|b1|b2|b3|b4
213,b0|b1|b3
214,b0
215,b4
216,b0|b1|b4
217,b0|b1|b2|b3|b4
218,b0
219,b4
220,b0|b1|b2|b3|b4
221,b0|b2|b3
222,b3
223,b0|b1|b2|b3|b4
224,b4
225,b4
226,b0|b1|b2|b3|b4
227,b0|b1|b2|b3|b4
228,b0|b1|b2|b3|b4
229,b0|b1|b2|b3|b4
230,b0|b1|b2|b3|b4
231,b0|b1|b2|b3|b4
232,b2
233,b0|b1|b3|b4
234,b0|b1|b2|b3|b4
235,b0|b2
236,b0|b1|b2|b3|b4
237,b0|b1|b2|b3
238,b0
239,b0|b1|b2
240,b0|b1|b2|b3|b4
241,b0
242,b0|b1|b3
243,b0|b1|b2|b3|b4
244,b0|b1|b2|b4
245,b0|b1|b3
246,b1|b2|b4
247,b0|b1|b2|b3
248,b0|b1|b2|b3|b4
249,b0
250,b0|b1|b2|b3|b4
251,b3|b4
252,b0|b1|b2|b3
253,b2
254,b0
255,b2|b3|b4
256,b4
257,b0|b1|b2|b3|b4
258,b1|b2|b3|b4
259,b0|b3
260,b0|b1|b2|b3|b4
261,b4
262,b0|b1|b2|b3|b4
263,b0|b1|b2|b3|b4
264,b0|b1|b2|b3|b4
265,b0|b1|b2
266,b0|b1|b2|b3|b4
267,b0|b1|b2|b3|b4
268,b0|b2|b4
269,b1|b2|b3|b4
270,b0|b1|b2|b3|b4
271,b0|b1|b2|b3|b4
272,b0|b1|b2|b3
273,b0
274,b0|b1|b3
275,b0|b1|b2
276,b0|b1|b2|b3|b4
277,b3
278,b0|b1|b2|b3|b4
279,b0|b1|b2|b3
280,b0|b1|b2|b3|b4
281,b0|b1|b2|b3|b4
282,b0|b1|b2|b3
283,b0|b1|b2|b3|b4
284,b0|b1|b2|b3|b4
285,b0|b1|b2|b3
286,b0|b1|b2|b3
287,b0|b1
288,b0|b1|b2|b3|b4
289,b0|b1|b2|b3|b4
290,b1
291,b0|b1|b2|b3|b4
292,b0|b1|b3|b4
293,b4
294,b0|b1|b2|b3|b4
295,b3
296,b0|b1|b2|b3|b4
297,b0|b1|b2|b3|b4
