row_id,winners
0,b3|b4
1,b3
2,b2|b3|b4
3,b0|b1|b2|b3|b4
4,b4
5,b3
6,b4
7,b4
8,b4
9,b4
10,b4
11,b4
12,b4
13,b4
14,b2
15,b2|b3|b4
16,b4
17,b3|b4
18,b4
19,b4
20,b4
21,b4
22,b4
23,b2|b3|b4
24,b4
25,b4
26,b1
27,b2|b3|b4
28,b1|b2|b3|b4
29,b4
30,b2|b3|b4
31,b3
32,b2|b3|b4
33,b3|b4
34,b0|b1|b2|b3|b4
35,b4
36,b1|b3
37,b3
38,b3|b4
39,b4
40,b3
41,b2|b3|b4
42,b1|b2|b3|b4
43,b4
44,b3|b4
45,b4
46,b4
47,b1|b2
48,b3
49,b4
50,b4
51,b4
52,b4
53,b3
54,b0|b1|b2|b3|b4
55,b3|b4
56,b4
57,b2|b3|b4
58,b4
59,b4
60,b4
61,b3
62,b4
63,b2
64,b4
65,b2|b3|b4
66,b4
67,b4
68,b4
69,b2|b3|b4
70,b4
71,b4
72,b4
73,b1|b2|b3
74,b4
75,b1|b2|b3|b4
76,b4
77,b4
78,b4
79,b4
80,b1|b2|b3|b4
81,b3|b4
82,b1|b2|b3|b4
83,b4
84,b4
85,b1|b2
86,b1|b2|b3|b4
87,b4
88,b2
89,b4
90,b4
91,b4
92,b4
93,b2|b3|b4
94,b3|b4
95,b4
96,b3|b4
97,b4
98,b0|b4
