row_id,winners
0,b3|b4
1,b4
2,b3
3,b0|b1|b2|b3|b4
4,b4
5,b4
6,b2
7,b0|b1|b2
8,b4
9,b4
10,b3
11,b0|b1|b2|b3
12,b1
13,b3|b4
14,b4
15,b0
16,b0|b1|b2|b3|b4
17,b1
18,b3|b4
19,b1
20,b3|b4
21,b3|b4
22,b3|b4
23,b0
24,b4
25,b0|b1|b2|b3|b4
26,b3
27,b4
28,b3|b4
29,b1|b2|b4
30,b2|b3|b4
31,b3|b4
32,b2
33,b4
34,b3
35,b3|b4
36,b2|b3|b4
37,b4
38,b1|b2
39,b4
40,b1|b2
41,b4
42,b3
43,b4
44,b3|b4
45,b3|b4
46,b4
47,b4
48,b3|b4
49,b1|b2|b3|b4
50,b1
51,b2
52,b4
53,b4
54,b3
55,b0|b1|b2|b3|b4
56,b4
57,b0
58,b1
59,b4
60,b0|b1
61,b0|b1|b2|b3|b4
62,b3
63,b2|b3|b4
64,b4
65,b2|b3|b4
66,b0|b1|b2|b3|b4
67,b4
68,b3|b4
69,b3|b4
70,b1
71,b4
72,b4
73,b4
74,b4
75,b4
76,b2
77,b4
78,b0|b1
79,b2
80,b3|b4
81,b0|b1|b2|b3|b4
82,b0|b1|b2|b3|b4
83,b4
84,b1|b3|b4
85,b3|b4
86,b3|b4
87,b4
88,b4
89,b4
90,b3|b4
91,b4
92,b3|b4
93,b2
94,b1|b2|b3|b4
95,b4
96,b1
97,b3|b4
98,b1
99,b3|b4
100,b4
101,b1|b2|b3|b4
102,b2
103,b1|b2|b3|b4
104,b3|b4
105,b1
106,b4
107,b3|b4
108,b3|b4
109,b3|b4
110,b2
111,b3|b4
112,b0|b1|b2|b3
113,b3|b4
114,b0
115,b2
116,b4
117,b3|b4
118,b4
119,b4
120,b1
121,b2|b3|b4
122,b4
123,b4
124,b2
125,b3|b4
126,b3|b4
127,b0|b1|b2|b3|b4
128,b2|b3|b4
129,b1|b2
130,b0|b1|b2|b3|b4
131,b3|b4
132,b4
133,b3
134,b4
135,b4
136,b0|b1|b2|b3|b4
137,b0|b1|b2|b3
138,b3|b4
139,b0|b1|b2|b3|b4
140,b3|b4
141,b4
142,b4
143,b3|b4
144,b4
145,b4
146,b2
147,b1
148,b0|b1|b2|b3|b4
149,b2
150,b3|b4
151,b0|b1|b2
152,b3|b4
153,b0|b1|b2|b3|b4
154,b2|b3|b4
155,b1
156,b4
157,b3
158,b4
159,b2|b3|b4
160,b0
161,b4
162,b0|b1|b2|b3|b4
163,b0|b1|b2|b3|b4
164,b3
165,b4
166,b3|b4
167,b3|b4
168,b3|b4
169,b3|b4
170,b3|b4
171,b3
172,b0|b1|b2|b3|b4
173,b2
174,b2|b3|b4
175,b2|b4
176,b4
177,b3|b4
178,b1|b2|b3|b4
179,b4
180,b1
181,b0|b1|b2|b3|b4
182,b1|b3
183,b4
184,b3
185,b3|b4
186,b0|b1|b2
187,b3
188,b4
189,b1|b2|b3|b4
190,b0
191,b2
192,b1
193,b2
194,b3|b4
195,b3|b4
196,b4
197,b3
198,b4
199,b4
200,b0|b1|b2|b3|b4
201,b3|b4
202,b4
203,b3|b4
204,b4
205,b3|b4
206,b4
207,b4
208,b3
209,b0|b1|b2
210,b1
211,b0|b1|b2|b3
212,b4
213,b2|b3
214,b4
215,b1
216,b1
217,b3|b4
218,b4
219,b3
220,b1
221,b2
222,b0|b1|b2|b3|b4
223,b2
224,b4
225,b3
226,b4
227,b4
228,b4
229,b1
230,b3|b4
231,b3
232,b2
233,b4
234,b1|b3|b4
235,b0|b1|b2|b3|b4
236,b4
237,b1
238,b3|b4
239,b3|b4
240,b3|b4
241,b3
242,b3
243,b2|b3
244,b2
245,b0|b1|b2|b3|b4
246,b3|b4
247,b1
248,b3|b4
249,b3
250,b1
251,b4
252,b3|b4
253,b0|b1|b2|b3|b4
254,b2
255,b3|b4
256,b3
257,b3|b4
258,b3
259,b4
260,b1
261,b1
262,b4
263,b2
264,b3
265,b4
266,b0|b1|b2|b3|b4
267,b3|b4
268,b0|b1|b2|b3|b4
269,b4
270,b3|b4
271,b0|b1|b2|b3|b4
272,b4
273,b1|b2|b3|b4
274,b4
275,b2|b3|b4
276,b4
277,b1|b2|b3|b4
278,b3
279,b1
280,b4
281,b1|b2|b3|b4
282,b2
283,b4
284,b4
285,b0
286,b0|b1|b2|b3|b4
287,b4
288,b3
289,b1|b2
290,b4
291,b4
292,b4
293,b2|b3|b4
294,b3
295,b3|b4
296,b3|b4
297,b4
298,b0|b1|b2|b3|b4
299,b0
300,b4
301,b4
302,b4
303,b4
304,b3
305,b2
306,b3|b4
307,b4
308,b0|b1
309,b4
310,b0|b1|b2|b3|b4
311,b0|b1|b2|b3
312,b4
313,b2
314,b4
315,b4
316,b3
317,b0|b1|b2|b3|b4
318,b4
319,b3|b4
320,b4
