row_id,winners
0,b0|b1|b2|b3
1,b0
2,b1|b2|b4
3,b0|b1|b2
4,b1|b3|b4
5,b4
6,b1|b4
7,b3|b4
8,b1|b2|b3
9,b1|b2|b3
10,b0|b1|b2|b3|b4
11,b0|b1
12,b0|b1|b2|b3|b4
13,b2|b3|b4
14,b0|b1|b2
15,b0|b1|b2|b3|b4
16,b0|b1|b2|b3
17,b4
18,b1|b2|b3
19,b1|b2|b3
20,b2|b3|b4
21,b0|b1|b2|b3|b4
22,b0|b1
23,b0|b1|b2|b3|b4
24,b0|b1|b2|b3|b4
25,b4
26,b0|b1|b2|b3
27,b0|b1|b2|b3|b4
28,b0|b1|b2|b3|b4
29,b0|b1|b2|b3|b4
30,b1|b2|b3|b4
31,b3
32,b1|b2
33,b2|b3|b4
34,b0
35,b4
36,b1|b3|b4
37,b1|b3
38,b4
39,b2|b4
40,b0|b1|b2
41,b0|b1
42,b0|b1|b2|b3|b4
43,b0|b1
44,b0|b1|b2|b3|b4
45,b0
46,b1|b2
47,b1|b2|b3|b4
48,b4
49,b4
50,b4
51,b0|b1|b2|b3|b4
52,b4
53,b0|b1|b2
54,b0|b1|b2|b3
55,b2|b3
56,b4
57,b4
58,b4
59,b0|b1|b2|b3|b4
60,b4
61,b0|b1|b2|b3|b4
62,b1|b2|b4
63,b3|b4
64,b0|b1|b2|b3|b4
65,b3|b4
66,b2|b3|b4
67,b4
68,b2|b3|b4
69,b3|b4
70,b4
71,b3|b4
72,b3
73,b0|b1|b2|b3|b4
74,b3
75,b1|b2|b3
76,b1|b2|b3
77,b4
78,b1|b2|b3|b4
79,b2
80,b4
81,b0|b1|b2|b3|b4
82,b1|b2
83,b0|b1
84,b0|b2|b3|b4
85,b1|b2|b3|b4
86,b0|b1|b2|b3|b4
87,b4
88,b0|b1
89,b1
90,b3|b4
91,b1|b2
92,b4
93,b3|b4
94,b2|b3|b4
95,b4
96,b0|b1|b2|b3|b4
97,b1|b4
98,b3|b4
99,b1|b4
100,b0|b1|b2|b3
101,b0|b1|b2
102,b0|b1|b4
103,b0|b1|b2|b3|b4
104,b0|b1|b2|b3|b4
105,b0|b2
106,b0
107,b3
108,b0|b1|b2
109,b0|b1|b2|b3|b4
110,b2|b3
111,b3
112,b1|b3
113,b2|b4
114,b1|b2|b3|b4
115,b0
116,b4
117,b0|b1|b2|b3|b4
118,b3
119,b0|b1|b2|b3|b4
120,b0|b1|b2|b3|b4
121,b1|b2|b3
122,b0|b4
123,b0|b1|b2|b3
124,b0|b1|b2
125,b1|b2|b3
126,b1|b2|b3
127,b4
128,b4
129,b4
130,b4
131,b3|b4
132,b2|b3
133,b1|b3
134,b4
135,b1|b3|b4
136,b3
137,b4
138,b0|b1|b2|b3|b4
139,b3
140,b1|b2|b3
141,b4
142,b2|b3|b4
143,b0|b2
144,b1
145,b0|b1|b2|b3|b4
146,b1|b4
147,b1|b4
148,b0
149,b4
150,b0|b2|b3|b4
151,b0|b1|b2|b3
152,b3|b4
153,b1|b2|b3|b4
154,b0|b1|b2
155,b0|b2|b3
156,b0
157,b2|b3|b4
158,b3|b4
159,b0|b1|b2|b3|b4
160,b1|b2|b3|b4
161,b4
162,b0|b1|b2|b3
163,b0|b1|b2|b3|b4
164,b3|b4
165,b1|b2|b4
166,b0|b1|b2
167,b2|b4
168,b0|b1|b2|b3|b4
169,b2|b3|b4
170,b0|b1|b2|b3|b4
171,b0|b1|b2|b3|b4
172,b0|b1|b2|b3|b4
173,b0|b2|b3|b4
174,b0|b1|b2
175,b0|b1|b2
176,b0|b3
177,b4
178,b3|b4
179,b0|b1|b2|b3|b4
180,b3|b4
181,b2|b3|b4
182,b0
183,b1|b2
184,b2
185,b2|b3|b4
186,b0|b1|b2
187,b0|b1|b2|b3|b4
188,b0|b1|b2|b3|b4
189,b0|b1|b2|b3
190,b3|b4
191,b0|b1|b2|b3|b4
192,b4
193,b0|b1|b2|b3|b4
194,b0|b1|b2|b3|b4
195,b0|b1|b3
196,b0|b1|b2|b3
197,b0|b1|b2|b3|b4
198,b0|b1|b2|b3|b4
199,b4
200,b0|b1
201,b4
202,b0|b1|b2|b3|b4
203,b4
204,b0|b1|b2|b3|b4
205,b3|b4
206,b0|b1|b2
207,b3
208,b0|b1|b2|b3|b4
209,b0|b1|b2
210,b0
211,b0|b1|b2
212,b4
213,b1|b3
214,b4
215,b1|b2|b3|b4
216,b0|b1|b2|b3|b4
217,b0|b1|b2|b3|b4
218,b0|b1|b2|b3|b4
219,b0|b1|b3
220,b0
221,b0|b1|b2
222,b2|b3|b4
223,b2|b3|b4
224,b4
225,b1|b2|b3|b4
226,b0|b3|b4
227,b3|b4
228,b0|b1|b2|b3
229,b0|b1
230,b0
231,b0|b1|b2
232,b0|b2|b3|b4
233,b1
234,b1|b2|b3|b4
235,b1
236,b4
237,b2|b3|b4
238,b1|b2|b3
239,b0|b1|b2|b3|b4
240,b3|b4
241,b0|b1|b2|b3|b4
242,b0|b1|b2
243,b4
244,b0|b1|b2|b3|b4
245,b0|b1|b2|b3|b4
246,b1
247,b0|b1|b2|b3|b4
248,b0|b1
249,b0|b1|b2
250,b2|b3|b4
251,b4
252,b3
253,b1|b3|b4
254,b0|b1|b2
255,b4
256,b0|b1
257,b3
258,b4
259,b0|b1
260,b3|b4
261,b2|b3|b4
262,b0|b1|b2|b3|b4
263,b2|b3|b4
264,b0
265,b0|b1|b2|b3
266,b0|b2|b3
267,b1
268,b2|b3|b4
269,b0
270,b2|b3|b4
271,b0|b1|b2|b3|b4
272,b0|b1
273,b0|b1|b2
274,b4
275,b0|b1|b2|b3
276,b0|b1|b2|b3
277,b0|b1|b2|b3|b4
278,b4
279,b0|b1|b2|b3|b4
280,b2|b4
281,b0|b1|b2|b3|b4
282,b4
283,b0|b1|b2|b3|b4
284,b2|b3|b4
285,b0|b1|b3
286,b0|b1|b2|b3
287,b3|b4
288,b1|b2
289,b0|b1|b2|b3|b4
290,b0|b1|b2|b3|b4
291,b0|b1|b2
292,b3
293,b4
294,b2|b3|b4
295,b1|b2|b3
296,b3
297,b1|b4
298,b0|b1|b2|b3|b4
299,b0|b1|b2
300,b0|b1|b2|b3
301,b3|b4
302,b1|b2|b3
303,b1
304,b0|b1|b2|b3|b4
305,b4
306,b0|b1|b2|b3
307,b1|b2|b3
308,b2|b3|b4
309,b0|b1|b2|b3|b4
310,b3
311,b2
312,b3
313,b2|b3|b4
314,b2|b3|b4
315,b3|b4
316,b0|b1|b2|b3|b4
317,b2|b3|b4
318,b0|b1|b2|b3|b4
319,b1|b2|b3
320,b2
321,b2|b3|b4
322,b3|b4
323,b0|b1|b2|b3
324,b2|b3|b4
325,b0|b1
326,b2
327,b0|b1
328,b0
329,b0|b2|b3
330,b0|b1|b2|b3|b4
331,b1|b2|b3|b4
332,b1|b2|b3
333,b3|b4
334,b2|b3|b4
335,b2|b4
336,b0|b1|b2|b3|b4
337,b3|b4
338,b4
339,b2|b4
340,b1|b2|b3|b4
341,b1|b2|b3|b4
342,b0|b1|b2|b3|b4
343,b1
344,b0|b1
345,b4
346,b0
347,b0
348,b4
349,b0|b2
350,b4
351,b2
352,b1|b3
353,b0|b1|b2|b3|b4
354,b0|b3|b4
355,b4
356,b0|b1|b2|b3|b4
357,b3|b4
358,b3|b4
359,b0|b1|b2
360,b0|b2|b3|b4
361,b0|b1|b2|b3|b4
362,b3
363,b2|b4
364,b0|b1|b3
365,b0|b1
366,b0
367,b0|b1|b2|b3|b4
368,b0|b1|b2|b3|b4
369,b0|b1|b2|b3|b4
370,b0|b1|b2
371,b0|b1|b2|b3|b4
372,b0|b1|b2|b3|b4
373,b2|b4
374,b3
375,b1|b2
376,b0|b1|b2|b3|b4
377,b0|b1|b2
378,b4
379,b1|b3
380,b2|b3|b4
381,b2|b3|b4
382,b0|b1|b2|b3|b4
383,b1|b2
384,b3
385,b0|b1|b2|b3|b4
386,b1
387,b0|b1
388,b1|b2|b3
389,b4
390,b0|b1
391,b2|b3|b4
392,b3|b4
393,b1|b2|b4
394,b0|b1|b2|b3|b4
395,b3
396,b1
397,b0
398,b4
399,b3
400,b0|b1|b2|b3|b4
401,b2|b3
402,b0|b1|b2|b4
403,b0|b1|b2|b3
404,b1|b2|b3|b4
405,b2
406,b0|b1|b2|b3
407,b3
408,b3
409,b4
410,b0|b1|b3|b4
411,b3|b4
412,b1
413,b2|b3|b4
414,b2|b3|b4
415,b2|b3|b4
416,b4
417,b4
418,b0|b1|b2|b3|b4
419,b2|b3
420,b3|b4
421,b0|b1
422,b1|b2|b3|b4
423,b0|b1|b2|b3|b4
424,b0|b1|b2|b3|b4
425,b0|b1|b2|b3|b4
426,b4
427,b0|b1|b2|b3|b4
428,b1|b4
429,b2|b3
430,b2|b3|b4
431,b1|b2
432,b0|b1|b2|b3|b4
433,b0|b1|b3|b4
434,b0|b1|b2|b3|b4
435,b0|b1|b2|b3|b4
436,b4
437,b1|b2|b3|b4
438,b0|b1|b2|b3|b4
439,b2|b3
440,b4
441,b0|b1
442,b0|b1|b2|b3
443,b3|b4
444,b0|b1
445,b4
446,b0|b1|b2|b4
447,b0|b1|b2|b3|b4
448,b1|b2
449,b0|b1|b2|b3|b4
450,b2
451,b0
452,b1
453,b1|b2|b3
454,b0
455,b0|b2
456,b4
457,b0|b1
458,b2
459,b2
460,b4
461,b0|b1|b2|b3|b4
462,b4
463,b2|b3
464,b0|b1
465,b4
466,b2|b3|b4
467,b1|b2
468,b0|b4
469,b4
470,b0|b1|b2|b3|b4
471,b0|b3
472,b0|b2|b3
473,b0|b1
474,b0|b1|b2|b3|b4
475,b1|b2|b3|b4
476,b0|b3
477,b3|b4
478,b0|b2|b3
