row_id,winners
0,b3
1,b4
2,b4
3,b4
4,b4
5,b4
6,b3|b4
7,b1|b2|b3|b4
8,b4
9,b4
10,b4
11,b4
12,b4
13,b3|b4
14,b4
15,b4
16,b4
17,b4
18,b3
19,b4
20,b4
21,b3
22,b3
23,b4
24,b2
25,b4
26,b4
27,b3|b4
28,b4
29,b3|b4
30,b4
31,b4
32,b3
33,b4
34,b4
35,b4
36,b4
37,b4
38,b4
39,b2|b3|b4
40,b2|b3|b4
41,b3
42,b4
43,b4
44,b4
45,b4
46,b4
47,b3|b4
48,b4
49,b3
50,b4
51,b4
52,b4
53,b4
54,b3
55,b4
56,b4
57,b4
58,b4
59,b3
60,b4
61,b3|b4
62,b4
63,b4
64,b4
65,b3|b4
66,b4
67,b4
68,b3|b4
69,b4
70,b4
71,b4
72,b4
73,b4
74,b4
75,b4
76,b3
77,b4
78,b4
79,b3|b4
80,b3|b4
81,b4
82,b4
83,b3|b4
84,b4
85,b4
86,b4
87,b4
88,b4
89,b4
90,b4
91,b4
92,b4
93,b3
94,b3
95,b3|b4
96,b4
97,b4
98,b3|b4
99,b4
100,b4
101,b4
102,b3|b4
103,b4
104,b4
105,b3|b4
106,b4
107,b4
108,b4
109,b3
110,b4
111,b4
112,b4
113,b4
114,b4
115,b4
116,b4
117,b4
118,b3|b4
119,b4
120,b3|b4
121,b4
122,b4
123,b2
124,b3|b4
125,b4
126,b3|b4
127,b4
128,b2
129,b4
130,b4
131,b4
132,b3|b4
133,b4
134,b4
135,b4
136,b4
137,b4
138,b2|b3|b4
139,b4
140,b4
141,b3
142,b4
143,b4
144,b3
145,b2
146,b4
147,b3|b4
148,b4
149,b4
150,b4
151,b4
152,b4
153,b4
154,b3|b4
155,b4
156,b4
157,b3|b4
158,b4
159,b4
160,b4
161,b3|b4
162,b4
163,b3|b4
164,b4
165,b4
166,b4
167,b4
168,b4
169,b3|b4
170,b3|b4
171,b2
172,b3|b4
173,b4
174,b2
175,b2
176,b4
177,b2|b3|b4
178,b4
179,b3|b4
180,b3
181,b4
182,b4
183,b4
184,b4
185,b3|b4
186,b4
187,b4
188,b4
189,b4
190,b4
191,b3
192,b4
193,b4
194,b3|b4
195,b4
196,b4
197,b3|b4
198,b4
199,b4
200,b4
201,b2|b4
202,b3|b4
203,b4
204,b4
205,b4
206,b4
207,b2|b3|b4
208,b4
209,b4
210,b4
211,b4
212,b3|b4
213,b4
214,b3|b4
215,b3|b4
216,b3
217,b3|b4
218,b3|b4
219,b2|b3|b4
220,b3
221,b3
222,b4
223,b4
224,b4
225,b4
226,b4
227,b3|b4
228,b3|b4
229,b4
230,b4
231,b4
232,b4
233,b2|b3|b4
234,b4
235,b3|b4
236,b4
237,b3|b4
238,b4
239,b4
240,b4
241,b3|b4
242,b4
243,b4
244,b4
245,b4
246,b4
247,b3
248,b3|b4
249,b4
250,b4
251,b3|b4
252,b3
253,b3|b4
254,b3
255,b4
256,b4
257,b4
258,b4
259,b4
260,b3|b4
261,b3|b4
262,b4
263,b4
264,b2|b3|b4
265,b4
266,b4
267,b4
268,b4
269,b4
270,b4
271,b4
272,b4
273,b3|b4
274,b4
275,b3|b4
276,b3
277,b4
278,b3|b4
279,b3|b4
280,b3
281,b3|b4
282,b4
283,b4
284,b4
285,b3|b4
286,b3|b4
287,b4
288,b2|b3|b4
289,b3|b4
290,b4
291,b4
292,b4
293,b3|b4
294,b4
295,b4
296,b4
297,b2
298,b3
299,b4
300,b4
301,b4
302,b4
303,b4
304,b4
305,b4
