row_id,winners
0,b3
1,b2|b3|b4
2,b1|b2|b3|b4
3,b4
4,b3|b4
5,b3
6,b0|b1
7,b0
8,b1|b2
9,b2|b3
10,b3|b4
11,b2
12,b4
13,b2
14,b3|b4
15,b4
16,b4
17,b4
18,b4
19,b0
20,b3|b4
21,b2
22,b3
23,b0
24,b3
25,b3
26,b2|b3
27,b2
28,b4
29,b0|b1|b4
30,b1
31,b0|b1|b2
32,b4
33,b2
34,b1|b2|b3|b4
35,b4
36,b4
37,b3
38,b4
39,b4
40,b4
41,b3|b4
42,b2|b3|b4
43,b3|b4
44,b4
45,b2|b3|b4
46,b0|b1
47,b2
48,b0|b1
49,b2
50,b4
51,b0|b1
52,b4
53,b2
54,b2
55,b2
56,b4
57,b2
58,b2
59,b1
60,b1|b2
61,b2
62,b4
63,b3|b4
64,b2
65,b4
66,b0|b3|b4
67,b3
68,b3|b4
69,b3
70,b0
71,b3
72,b3|b4
73,b2|b3|b4
74,b4
75,b2
76,b3
77,b3|b4
78,b3|b4
79,b3|b4
80,b1
81,b2
82,b4
83,b3
84,b0|b1
85,b3
86,b4
87,b0|b1|b4
88,b2
89,b2
90,b4
91,b0|b1|b2
92,b4
93,b1|b4
94,b0
95,b2
96,b2|b3
97,b3
98,b2|b3|b4
99,b2|b4
100,b3|b4
101,b2
102,b1|b2
103,b0
104,b2
105,b3
106,b3
107,b4
108,b2
109,b1|b2
110,b2
111,b3
112,b3|b4
113,b3
114,b4
115,b2
116,b1
117,b4
118,b3
119,b3
120,b0|b1
121,b0|b1|b3|b4
122,b2|b3
123,b3
124,b4
125,b2
126,b4
127,b4
128,b2
129,b3
130,b3
131,b4
132,b3|b4
133,b1
134,b2|b3
135,b3
136,b3
137,b1|b2|b3
138,b0|b1
139,b3|b4
140,b0
141,b4
142,b3
143,b2
144,b1
145,b3
146,b2|b3
147,b1|b4
148,b2|b4
149,b0|b1
150,b1|b4
151,b3
152,b0|b1|b2|b3|b4
153,b4
154,b3
155,b4
156,b3|b4
157,b3|b4
158,b0|b1
159,b2
160,b4
161,b2
162,b3|b4
163,b3
164,b3|b4
165,b1|b2|b3|b4
166,b4
167,b4
168,b3
169,b4
170,b0|b1
171,b3|b4
172,b2|b3|b4
173,b0|b1
174,b2|b4
175,b0|b1|b4
176,b4
177,b0|b1
178,b1|b2
179,b2
180,b4
181,b2
182,b3|b4
183,b4
184,b3|b4
185,b4
186,b3
187,b4
188,b4
189,b2|b3
190,b4
191,b4
192,b2
193,b3
194,b4
195,b4
196,b4
197,b2
198,b4
199,b4
