row_id,winners
0,b0
1,b0|b1|b2|b3
2,b1|b3|b4
3,b0|b3|b4
4,b1|b2
5,b0|b1|b2
6,b1|b2|b3|b4
7,b2|b3|b4
8,b1|b2|b4
9,b1|b2
10,b0|b1|b2|b3|b4
11,b3
12,b0|b1|b2|b3|b4
13,b0|b1|b2|b3|b4
14,b0|b1|b2|b3
15,b0|b1|b2|b3|b4
16,b0
17,b1|b2
18,b0|b1|b2|b3|b4
19,b2
20,b1|b2|b3
21,b0|b1|b2|b3|b4
22,b3|b4
23,b0|b2|b4
24,b1|b2
25,b0|b1|b2|b3|b4
26,b0|b1|b2|b3|b4
27,b0|b1|b2|b3|b4
28,b1|b2|b3|b4
29,b0
30,b0|b1|b2|b3|b4
31,b0
32,b4
33,b3|b4
34,b3|b4
35,b1|b4
36,b0|b1|b2|b3|b4
37,b2|b3
38,b1|b2|b3
39,b0|b3|b4
40,b0|b1|b2|b3|b4
41,b0|b1|b2
42,b1
43,b3
44,b0|b1|b2|b3|b4
45,b0|b1|b2|b3|b4
46,b0|b1|b2|b3|b4
47,b1
48,b0|b1|b2|b3|b4
49,b0
50,b0
51,b0|b1|b2|b3|b4
52,b3|b4
53,b0|b1|b2
54,b1|b4
55,b0|b3|b4
56,b2|b3|b4
57,b0|b1|b2
58,b0|b1|b2|b3|b4
59,b1|b2|b3|b4
60,b0|b1|b2|b3|b4
61,b0|b1|b2|b3
62,b0|b2|b3|b4
63,b0|b1
64,b0
65,b0|b1|b2|b3|b4
66,b0|b1|b2|b3|b4
67,b0|b1|b2|b3|b4
68,b0|b1
69,b0|b1|b4
70,b0|b1|b2|b3|b4
71,b1|b2|b3
72,b4
73,b1|b2|b3|b4
74,b0|b1|b2|b3|b4
75,b0|b1|b2|b3|b4
76,b0|b1|b2|b4
77,b1|b4
78,b0
79,b2|b3
80,b0|b2
81,b1|b2|b3
82,b1|b2|b4
83,b0|b1|b2|b3|b4
84,b2
85,b0|b2|b3|b4
86,b0|b2|b3|b4
87,b1
88,b0|b1|b2|b3|b4
89,b0|b1|b2|b3|b4
90,b0|b1|b2|b3
91,b0|b1|b2|b3|b4
92,b0|b1|b2|b3|b4
93,b0|b1|b2|b3|b4
94,b2
95,b0|b1|b2|b3|b4
96,b0|b1|b2|b3|b4
97,b2|b3|b4
98,b1
99,b3|b4
100,b0|b1|b2
101,b0|b1|b2|b3|b4
102,b2
103,b2|b3
104,b4
105,b0|b1|b2|b3|b4
106,b0|b1|b2|b3|b4
107,b0|b3
108,b0|b1|b2
109,b0|b1
110,b4
111,b0|b3
112,b0|b1
113,b3
114,b0|b1|b2|b3|b4
115,b0|b1|b2|b3|b4
116,b0|b1|b2|b3
117,b0|b1|b2|b3|b4
118,b3|b4
119,b1
120,b2|b3|b4
121,b0|b1|b2|b3|b4
122,b0|b1|b2|b3|b4
123,b0|b1|b4
124,b0|b1|b2
125,b0|b1|b2|b3|b4
126,b0|b1|b2|b3
127,b1|b3|b4
128,b0|b1
129,b0|b1|b2|b3
130,b0|b1|b2|b3|b4
131,b3
132,b0|b1|b2|b3|b4
133,b4
134,b4
135,b0|b3|b4
136,b0|b1|b2|b3|b4
137,b0|b2
138,b4
139,b0|b1|b2
140,b0|b1|b2|b3|b4
141,b1|b4
142,b0|b1|b2|b3|b4
143,b0|b1|b2|b3|b4
144,b0
145,b1|b2|b3
146,b0|b2|b3|b4
147,b0|b1|b2|b3|b4
148,b0|b1|b2|b3|b4
149,b0|b3
150,b0|b1|b2|b3|b4
151,b0|b1|b2|b3|b4
152,b1|b2|b3|b4
153,b3
154,b0|b2|b3
155,b0
156,b0|b1
157,b4
158,b0|b4
159,b0|b1|b2|b3|b4
160,b0|b1|b2|b3|b4
161,b0|b1|b2|b3|b4
162,b0|b1|b2|b3|b4
163,b0|b1|b2|b3|b4
164,b0|b2|b3|b4
165,b1|b2|b3
166,b4
167,b0|b1|b2|b3|b4
168,b1|b2
169,b4
170,b1|b3|b4
171,b0
172,b0|b2|b3|b4
173,b0|b1|b2|b3|b4
174,b0|b1|b2|b3|b4
175,b1|b2|b3|b4
176,b0|b1|b2
177,b0|b1|b2|b3|b4
178,b1|b3
179,b0|b1|b2|b3|b4
180,b0|b1|b2|b3|b4
181,b0|b1|b2|b3|b4
182,b0|b1|b2|b3|b4
183,b2
184,b0|b1|b2
185,b3|b4
186,b0|b1|b2|b3|b4
187,b0|b1|b2|b3|b4
188,b3|b4
189,b0|b1|b2|b3|b4
190,b0|b1|b2|b3|b4
191,b0|b1|b2|b3|b4
192,b0|b1|b2|b3|b4
193,b0|b1|b2|b3|b4
194,b2
195,b0|b1|b2|b3|b4
196,b0|b1|b2|b3|b4
197,b0|b4
198,b1|b3|b4
199,b0|b1|b2
200,b0|b1|b2
201,b2|b3|b4
202,b0|b1|b2|b3
203,b0
204,b3|b4
205,b0|b1|b2|b3|b4
206,b1|b2|b3|b4
207,b3|b4
208,b3|b4
209,b0|b1|b2|b3|b4
210,b0|b1|b4
211,b1
212,b0|b1|b2|b3|b4
213,b0|b1|b2|b3|b4
214,b0|b1|b2
215,b3
216,b0|b1|b2|b3|b4
217,b0|b1|b2|b3|b4
218,b0|b1|b2|b3|b4
219,b0|b1|b2|b3|b4
220,b0|b1|b2|b3
221,b0|b2
222,b2|b3|b4
223,b0|b3|b4
224,b0|b1|b2|b3|b4
225,b2|b3
226,b1|b4
227,b3
228,b0|b1|b2|b3|b4
