row_id,winners
0,b3|b4
1,b0|b1
2,b1|b2|b3|b4
3,b1|b2
4,b0|b1|b2|b3|b4
5,b0|b1|b3
6,b1|b2|b4
7,b1|b2|b4
8,b2|b3|b4
9,b0|b1|b2|b3|b4
10,b2|b3|b4
11,b1|b2|b3|b4
12,b2|b3
13,b1|b2|b3|b4
14,b2|b3|b4
15,b2|b3|b4
16,b3|b4
17,b0|b1|b2|b3|b4
18,b0|b1|b2|b3|b4
19,b0
20,b0|b1|b2|b3|b4
21,b0|b1|b2|b3|b4
22,b0|b1|b2
23,b2|b3
24,b2|b3|b4
25,b0|b1|b2|b3|b4
26,b1|b2|b4
27,b2|b3|b4
28,b2|b3|b4
29,b2|b4
30,b0|b3
31,b1
32,b0|b1|b2|b3|b4
33,b1|b3|b4
34,b4
35,b0|b1
36,b3
37,b0|b1|b2|b3|b4
38,b1|b4
39,b0|b1|b2|b3|b4
40,b0|b1|b2|b3|b4
41,b0|b1|b2|b3|b4
42,b4
43,b1|b2|b3
44,b0|b1|b2|b3|b4
45,b0|b2|b3
46,b0
47,b1|b2|b3|b4
48,b1|b2|b3
49,b1
50,b0|b1|b2
51,b0|b1|b2|b3|b4
52,b2|b3|b4
53,b1|b2|b3|b4
54,b1|b3|b4
55,b3
56,b1|b2|b3|b4
57,b4
58,b1|b2|b4
59,b4
60,b1|b2|b3|b4
61,b4
62,b1|b3|b4
63,b0|b2|b3|b4
64,b1|b3|b4
65,b1|b2|b3|b4
66,b1|b3|b4
67,b1|b2|b3|b4
68,b0|b1|b2|b3
69,b0|b1|b2|b3|b4
70,b1|b2|b3|b4
71,b2|b3|b4
72,b0|b1|b2|b3|b4
73,b1|b2|b3|b4
74,b3
75,b0|b1|b2|b3
76,b3
77,b1|b2|b3|b4
78,b4
79,b2|b3|b4
80,b0|b1|b2|b3|b4
81,b2|b3|b4
82,b0|b1|b2|b3|b4
83,b0|b1|b2|b3|b4
84,b0|b1|b2|b3|b4
85,b4
86,b0
87,b1
88,b4
89,b1|b2|b3|b4
90,b4
91,b0|b1|b2|b3|b4
92,b0|b1|b2|b3|b4
93,b4
94,b0|b1|b2|b3|b4
95,b2
96,b0|b1|b2|b3|b4
97,b0|b1|b2|b3|b4
98,b3|b4
99,b0|b1|b2|b3|b4
100,b1
101,b1|b2|b3|b4
102,b1|b2|b3|b4
103,b2
104,b1|b2|b3|b4
105,b0|b1|b2|b3|b4
106,b1|b2|b3|b4
107,b0|b1|b2|b3|b4
108,b2|b3
109,b1|b2|b3|b4
110,b0|b1|b2|b3|b4
111,b1|b2|b3|b4
112,b1|b2|b4
113,b2|b3
114,b3
115,b3
116,b1|b2|b3|b4
117,b2|b3|b4
118,b4
119,b1|b2|b3|b4
120,b0|b1|b2|b3|b4
121,b4
122,b2|b3|b4
123,b0|b1|b2|b3|b4
124,b3
125,b2|b3
126,b2|b3|b4
127,b0|b1|b2|b3
128,b1|b2|b3|b4
129,b2|b3|b4
130,b1|b4
131,b1|b2
132,b1|b2|b3|b4
133,b2|b4
134,b1|b2|b3|b4
135,b0
136,b3
137,b1|b2|b3|b4
138,b1|b2|b3|b4
139,b0|b1|b2|b3|b4
140,b3|b4
141,b0|b1|b2|b3|b4
142,b1|b3|b4
143,b4
144,b3
145,b1|b2|b3|b4
146,b0|b1|b2|b3|b4
147,b4
148,b1|b2|b3|b4
149,b2
150,b1|b4
151,b1|b2
152,b0
153,b0|b1|b2|b3|b4
154,b1|b2|b3
155,b3|b4
156,b2|b4
157,b1|b3
158,b1|b2|b3
159,b0|b1|b2|b3|b4
160,b3
161,b0|b1|b2|b3|b4
162,b2|b3|b4
163,b4
164,b0|b1|b2|b3|b4
165,b1|b3|b4
166,b2|b3|b4
167,b2
168,b0|b1|b2|b3|b4
169,b0|b1
170,b1|b2|b3|b4
171,b2|b3
172,b0|b1|b2|b3|b4
173,b3
174,b4
175,b1|b2|b3|b4
176,b0|b1|b2|b3|b4
177,b0
178,b3
179,b2|b4
180,b0|b1|b2|b3|b4
181,b1|b3
182,b1|b2|b3|b4
183,b0|b1|b2|b3|b4
184,b2|b3|b4
185,b2|b4
186,b1|b2|b3
187,b2|b3|b4
188,b2|b3
189,b0|b1|b2|b3|b4
190,b1|b2|b3|b4
191,b2
192,b2|b3|b4
193,b1|b2
194,b0|b1|b2|b3|b4
195,b0|b1|b2
196,b1|b2|b3|b4
197,b3|b4
198,b3
199,b1|b2|b3|b4
200,b0|b1|b2|b3
201,b0|b1|b2|b3|b4
202,b1
203,b1|b2|b3|b4
204,b2|b4
205,b0|b1|b2|b3|b4
206,b0
207,b2
208,b3
209,b0|b1|b2
210,b2|b3
211,b4
212,b2|b3
213,b0|b1|b2|b3|b4
214,b0|b1|b2|b3|b4
215,b0|b1|b2|b3|b4
216,b2|b3|b4
217,b0|b1|b2
218,b0
219,b0|b1|b2|b3|b4
220,b2
221,b0
222,b3
223,b2|b3
224,b1|b3|b4
225,b0|b1|b2|b3|b4
226,b1|b2|b3|b4
227,b1
228,b1|b2|b3|b4
229,b1|b3|b4
230,b0|b1|b2|b3|b4
231,b0|b1|b2|b3|b4
232,b3
233,b1|b2|b3|b4
234,b4
235,b2|b3|b4
236,b3|b4
237,b0|b1|b2
238,b2|b3|b4
239,b3|b4
