row_id,winners
0,b3|b4
1,b2|b3|b4
2,b3|b4
3,b2|b3|b4
4,b2|b3|b4
5,b2|b3|b4
6,b4
7,b3|b4
8,b3
9,b3
10,b2|b3|b4
11,b4
12,b1|b2|b3|b4
13,b3|b4
14,b1|b2|b3|b4
15,b3|b4
16,b4
17,b2|b4
18,b3
19,b2|b3|b4
20,b2|b3
21,b3|b4
22,b4
23,b4
24,b3
25,b4
26,b2|b3|b4
27,b3|b4
28,b2|b3
29,b2
30,b4
31,b3|b4
32,b4
33,b2|b3|b4
34,b1|b2
35,b1|b4
36,b1|b2|b3|b4
37,b4
38,b2|b3|b4
39,b1|b2|b3|b4
40,b2|b3|b4
41,b3
42,b3
43,b3|b4
44,b2
45,b3|b4
46,b4
47,b2|b3|b4
48,b1|b2
49,b0|b1|b2|b3|b4
50,b1|b2|b3
51,b3
52,b4
53,b4
54,b4
55,b3
56,b3|b4
57,b4
58,b1
59,b3|b4
60,b3
61,b0
62,b3|b4
63,b3|b4
64,b4
65,b2|b3|b4
66,b2|b3|b4
67,b2|b3|b4
68,b3
69,b4
70,b2|b3|b4
71,b1|b2|b3|b4
72,b1|b2|b3|b4
73,b1|b2
74,b3|b4
75,b4
76,b1|b2|b3|b4
77,b2|b3
78,b2|b3|b4
79,b4
80,b3
81,b4
82,b2|b3|b4
83,b4
84,b1|b2|b3
85,b2|b3|b4
86,b0|b1|b2|b3|b4
87,b1|b2
88,b2|b3
89,b2|b3
90,b4
91,b2|b3|b4
92,b3
93,b2|b3|b4
94,b4
95,b1|b2|b3|b4
96,b3|b4
97,b2
98,b3|b4
99,b3|b4
100,b2|b3|b4
101,b3|b4
102,b2|b3|b4
103,b0|b1|b2|b3|b4
104,b1|b2|b3|b4
105,b1|b2|b3|b4
106,b3|b4
107,b1|b2|b3|b4
108,b4
109,b2|b3|b4
110,b4
111,b3|b4
112,b3|b4
113,b0|b1|b2|b3
114,b2|b3|b4
115,b3|b4
116,b1|b2|b3|b4
117,b2|b3|b4
118,b3|b4
119,b1
120,b4
121,b1|b2|b3|b4
122,b3|b4
123,b1|b2|b3|b4
124,b4
125,b2|b3|b4
126,b2|b3|b4
127,b2
128,b3|b4
129,b3|b4
130,b1|b2|b3|b4
131,b4
132,b1|b2|b3|b4
133,b0|b1|b2|b3|b4
134,b4
135,b2|b3|b4
136,b1|b2|b3|b4
137,b4
138,b3|b4
139,b3|b4
140,b1|b2|b3
141,b2
142,b2
143,b1|b2|b3|b4
144,b0|b1|b2|b3|b4
145,b2|b4
146,b4
147,b2|b3
148,b1|b2
149,b4
150,b3|b4
151,b4
152,b2|b3
153,b0|b1|b2|b3|b4
154,b1|b2|b3|b4
155,b2|b3|b4
156,b3|b4
157,b2|b3|b4
158,b2|b3
159,b3|b4
160,b2|b3|b4
161,b2|b3
162,b4
163,b4
164,b4
165,b4
166,b4
167,b3|b4
168,b4
169,b2|b3|b4
170,b0
171,b2|b3|b4
172,b4
173,b4
174,b3|b4
175,b2|b3|b4
176,b2|b3
177,b4
178,b3|b4
179,b4
180,b1|b3|b4
181,b4
182,b2|b3|b4
183,b4
184,b2|b3|b4
185,b3|b4
186,b3|b4
187,b3|b4
188,b4
189,b4
190,b3|b4
191,b4
192,b2|b3|b4
193,b2|b3|b4
194,b3|b4
195,b2|b3|b4
196,b3|b4
197,b1|b2|b3|b4
198,b2|b3|b4
199,b1|b2|b3|b4
200,b2|b3
201,b3|b4
202,b2
203,b2|b3|b4
204,b4
205,b1
206,b2|b3|b4
207,b3
208,b2|b3|b4
209,b1|b2|b3|b4
210,b2|b3|b4
211,b1|b2|b3|b4
212,b1|b2|b3|b4
213,b3
214,b3|b4
215,b1
216,b4
217,b1|b3|b4
218,b4
219,b2|b3|b4
220,b3
221,b2|b3|b4
222,b2
223,b2|b3
224,b3|b4
225,b3|b4
226,b2|b4
227,b3|b4
228,b2
229,b0|b1|b2|b3|b4
230,b3|b4
231,b3|b4
232,b3|b4
233,b2|b3|b4
234,b3|b4
235,b4
236,b3|b4
237,b4
238,b4
239,b2|b3|b4
240,b0|b1|b2|b3|b4
241,b3|b4
242,b2
243,b3
244,b1|b2|b4
245,b3|b4
246,b3
247,b4
248,b0|b1|b2|b3|b4
249,b4
250,b1|b2|b4
251,b3|b4
252,b1|b2|b3
253,b4
254,b2
255,b3|b4
256,b2|b3|b4
257,b4
258,b4
259,b0|b1|b4
260,b2|b3|b4
261,b1|b2|b3|b4
262,b4
263,b4
264,b4
265,b2|b3
266,b4
267,b2|b3
268,b3|b4
269,b1|b2|b3|b4
270,b3|b4
271,b3|b4
272,b4
273,b3|b4
274,b4
275,b2|b3
276,b4
277,b2|b3|b4
278,b2|b4
279,b3|b4
280,b3|b4
281,b4
282,b4
283,b4
284,b3|b4
285,b3
286,b4
287,b4
288,b3|b4
289,b4
290,b0
291,b3|b4
292,b3
293,b1
294,b1|b2|b3|b4
295,b3|b4
296,b4
