row_id,winners
0,b3|b4
1,b3|b4
2,b3|b4
3,b3|b4
4,b3|b4
5,b3|b4
6,b3|b4
7,b4
8,b4
9,b3|b4
10,b3|b4
11,b3|b4
12,b3|b4
13,b3|b4
14,b3|b4
15,b4
16,b3|b4
17,b3|b4
18,b3|b4
19,b3|b4
20,b4
21,b4
22,b3|b4
23,b4
24,b3|b4
25,b4
26,b3|b4
27,b3|b4
28,b2|b3|b4
29,b3|b4
30,b3|b4
31,b3|b4
32,b3|b4
33,b4
34,b3|b4
35,b1
36,b3|b4
37,b4
38,b3|b4
39,b3|b4
40,b2|b3|b4
41,b2|b3|b4
42,b3|b4
43,b3|b4
44,b4
45,b3|b4
46,b3|b4
47,b3|b4
48,b4
49,b3|b4
50,b3|b4
51,b4
52,b4
53,b3|b4
54,b4
55,b3|b4
56,b3|b4
57,b4
58,b3|b4
59,b4
60,b3|b4
61,b2|b3|b4
62,b4
63,b4
64,b3|b4
65,b3|b4
66,b4
67,b3|b4
68,b3|b4
69,b3|b4
70,b3|b4
71,b4
72,b3|b4
73,b3|b4
74,b3|b4
75,b3|b4
76,b4
77,b3|b4
78,b4
79,b3|b4
80,b4
81,b4
82,b3|b4
83,b0
84,b4
85,b3|b4
86,b4
87,b3|b4
88,b3|b4
89,b4
90,b3|b4
91,b4
92,b2|b3|b4
93,b3|b4
94,b4
95,b4
96,b3|b4
97,b3|b4
98,b3|b4
99,b4
100,b3|b4
101,b3|b4
102,b3|b4
103,b3|b4
104,b3|b4
105,b2|b3|b4
106,b3|b4
107,b3|b4
108,b4
109,b3|b4
110,b4
111,b3|b4
112,b3|b4
113,b3|b4
114,b3|b4
115,b4
116,b3|b4
117,b4
118,b3|b4
119,b3|b4
120,b3|b4
121,b3|b4
122,b2|b3|b4
123,b3|b4
124,b3|b4
125,b3|b4
126,b3|b4
127,b2|b3|b4
128,b3|b4
129,b3|b4
130,b3|b4
131,b4
132,b4
133,b3|b4
134,b3|b4
135,b3|b4
136,b3|b4
137,b3|b4
138,b4
139,b3|b4
140,b3|b4
141,b3|b4
142,b3|b4
143,b4
144,b4
145,b3|b4
146,b3|b4
147,b4
148,b4
149,b3|b4
150,b3|b4
151,b3|b4
152,b3|b4
153,b3|b4
154,b3|b4
155,b4
156,b4
157,b3|b4
158,b4
159,b4
160,b3|b4
161,b3|b4
162,b3|b4
163,b3|b4
164,b3|b4
165,b3|b4
166,b4
167,b4
168,b3|b4
169,b4
170,b4
171,b3|b4
172,b4
173,b3|b4
174,b3|b4
175,b3|b4
