row_id,winners
0,b2
1,b1
2,b4
3,b1
4,b3|b4
5,b0|b1|b2|b3|b4
6,b4
7,b4
8,b0
9,b3
10,b3|b4
11,b4
12,b4
13,b4
14,b4
15,b1|b2
16,b1|b2
17,b4
18,b0|b1
19,b3|b4
20,b0|b1|b2
21,b0
22,b3|b4
23,b4
24,b4
25,b0
26,b1
27,b0|b1
28,b3|b4
29,b3|b4
30,b0
31,b4
32,b0|b1|b2
33,b3|b4
34,b0
35,b2
36,b3|b4
37,b0
38,b4
39,b2|b3|b4
40,b2|b3|b4
41,b0
42,b4
43,b4
44,b3
45,b2|b3
46,b1
47,b3|b4
48,b3|b4
49,b0
50,b0
51,b1|b2|b3|b4
52,b3|b4
53,b3|b4
54,b4
55,b1|b2|b3|b4
56,b0
57,b4
58,b3|b4
59,b4
60,b3|b4
61,b3|b4
62,b0
63,b2|b3|b4
64,b1|b2|b3|b4
65,b3|b4
66,b4
67,b3|b4
68,b1
69,b3
70,b3
71,b0
72,b4
73,b2|b3
74,b3|b4
75,b0|b1
76,b4
77,b4
78,b2
79,b0|b1
80,b1|b2
81,b4
82,b3|b4
83,b4
84,b0
85,b0
86,b1|b2|b3|b4
87,b4
88,b1
89,b4
90,b1|b4
91,b3|b4
92,b2|b3
93,b1|b3|b4
94,b3|b4
95,b1|b2
96,b3|b4
97,b0|b1
98,b3|b4
99,b3
100,b3|b4
101,b3|b4
102,b4
103,b4
104,b4
105,b3|b4
106,b3|b4
107,b3|b4
108,b0
109,b2
110,b4
111,b4
112,b3|b4
113,b4
114,b4
115,b3
116,b3
117,b3|b4
118,b2|b3|b4
119,b1|b2
120,b0
121,b2
122,b3
123,b2
124,b4
125,b4
126,b3
127,b1
128,b0|b1|b2|b3|b4
129,b4
130,b1|b2|b3|b4
131,b3
132,b1|b2
133,b2
134,b1|b4
135,b2|b3|b4
136,b3
137,b2
138,b1
139,b1|b2
140,b4
141,b4
142,b0
143,b3|b4
144,b0
145,b4
146,b1
147,b4
148,b2|b3
149,b0
150,b0|b1
151,b4
152,b1
153,b3|b4
154,b4
155,b2|b3|b4
156,b3|b4
157,b0
158,b2|b3
159,b2|b3|b4
160,b4
161,b1|b2|b3|b4
162,b4
163,b2|b3|b4
