row_id,winners
0,b4
1,b4
2,b3|b4
3,b4
4,b4
5,b4
6,b1|b2|b3|b4
7,b2|b3|b4
8,b4
9,b3|b4
10,b2|b4
11,b4
12,b3|b4
13,b3|b4
14,b0|b1|b2|b3|b4
15,b3|b4
16,b4
17,b0|b1|b2|b3|b4
18,b3|b4
19,b4
20,b2|b3|b4
21,b3|b4
22,b3|b4
23,b4
24,b2|b3|b4
25,b3|b4
26,b4
27,b4
28,b3|b4
29,b4
30,b4
31,b4
32,b3|b4
33,b4
34,b2|b3|b4
35,b4
36,b3|b4
37,b4
38,b4
39,b4
40,b4
41,b2|b3|b4
42,b4
43,b3|b4
44,b4
45,b3|b4
46,b4
47,b3|b4
48,b3|b4
49,b4
50,b3|b4
51,b4
52,b4
53,b3|b4
54,b4
55,b4
56,b4
57,b2|b3|b4
58,b4
59,b2|b3
60,b4
61,b3|b4
62,b4
63,b2|b3|b4
64,b4
65,b2|b3|b4
66,b1
67,b2|b3|b4
68,b4
69,b4
70,b4
71,b1|b2|b3|b4
72,b4
73,b4
74,b3
75,b3|b4
76,b3
77,b4
78,b4
79,b4
80,b4
81,b2|b3|b4
82,b4
83,b4
84,b2|b3|b4
85,b4
86,b3|b4
87,b4
88,b3|b4
89,b4
90,b4
91,b0|b1|b2|b3
92,b1|b2|b3|b4
93,b3
94,b4
95,b3|b4
96,b2|b3
97,b3|b4
98,b4
