row_id,winners
0,b3
1,b4
2,b4
3,b3|b4
4,b3|b4
5,b4
6,b1|b2|b3|b4
7,b4
8,b2|b3|b4
9,b3|b4
10,b2|b3|b4
11,b2|b3|b4
12,b4
13,b2|b3|b4
14,b0
15,b2|b3|b4
16,b2|b4
17,b2|b3|b4
18,b2|b3|b4
19,b3|b4
20,b2|b3|b4
21,b3|b4
22,b1|b2|b3|b4
23,b2|b3|b4
24,b3|b4
25,b2|b3|b4
26,b3|b4
27,b1|b2|b3|b4
28,b2|b3|b4
29,b3|b4
30,b2|b3|b4
31,b4
32,b2|b3|b4
33,b2|b3|b4
34,b4
35,b1|b2|b3|b4
36,b4
37,b3|b4
38,b3|b4
39,b3|b4
40,b1|b2|b3|b4
41,b3|b4
42,b3|b4
43,b3|b4
44,b2|b3|b4
45,b2|b3|b4
46,b2|b3|b4
47,b2|b3|b4
48,b4
49,b4
50,b2|b3|b4
51,b2|b3|b4
52,b2|b3|b4
53,b3|b4
54,b1
55,b4
56,b1|b2|b3|b4
57,b2|b4
58,b2|b3|b4
59,b2|b3|b4
60,b2|b3|b4
61,b4
62,b3|b4
63,b4
64,b2|b3|b4
65,b1|b2|b3|b4
66,b1|b2|b3|b4
67,b1
68,b3|b4
69,b3|b4
70,b2|b3|b4
71,b1|b2|b3|b4
72,b4
73,b3|b4
74,b1|b2|b3|b4
75,b1|b2|b3|b4
76,b2|b3|b4
77,b4
78,b4
79,b4
80,b0|b1|b2|b3|b4
81,b2|b3|b4
82,b4
83,b3|b4
84,b2|b3|b4
85,b2|b3|b4
86,b1|b2|b3|b4
87,b4
88,b3|b4
89,b2|b3|b4
90,b0|b1|b2|b3|b4
91,b4
92,b4
93,b4
94,b4
95,b2|b3|b4
96,b4
97,b2|b3|b4
98,b2|b3|b4
99,b4
100,b2|b3|b4
101,b2|b3|b4
102,b2|b3|b4
103,b2|b3|b4
104,b2|b3|b4
105,b2|b3|b4
106,b3|b4
107,b3|b4
108,b1|b2|b3|b4
109,b4
110,b1|b2|b3|b4
111,b3
112,b1|b2|b3|b4
113,b3|b4
114,b4
115,b1|b2|b3|b4
116,b2|b3|b4
117,b2|b3|b4
118,b4
119,b3|b4
120,b1|b2|b3|b4
121,b3
122,b1|b2|b3|b4
123,b3|b4
124,b4
125,b3|b4
126,b4
127,b2|b3|b4
128,b4
129,b2|b3|b4
130,b4
131,b4
132,b4
133,b3|b4
134,b1|b2|b3|b4
135,b4
136,b4
137,b4
138,b3
139,b2|b3|b4
140,b3
141,b1|b2|b3|b4
142,b1|b2|b3|b4
143,b1|b2|b3|b4
144,b4
145,b3|b4
146,b1|b2|b3|b4
147,b4
148,b4
149,b4
150,b4
151,b4
152,b4
153,b2|b3|b4
154,b2|b3|b4
155,b2|b3|b4
156,b4
157,b3|b4
158,b3|b4
159,b4
160,b1|b2|b3|b4
161,b4
162,b1|b2|b3|b4
163,b4
164,b4
165,b2|b3|b4
166,b4
167,b4
168,b3|b4
169,b1|b2|b3|b4
170,b2|b3|b4
171,b4
172,b3|b4
173,b3|b4
174,b4
175,b1|b2|b3|b4
176,b2|b3|b4
177,b3|b4
178,b4
179,b4
180,b2|b3|b4
181,b1|b3|b4
182,b4
183,b2|b3|b4
184,b4
185,b2|b3|b4
186,b3|b4
187,b3|b4
188,b3|b4
189,b2|b3|b4
190,b1|b2|b3|b4
191,b2|b3|b4
192,b2|b3|b4
193,b4
194,b3|b4
195,b3|b4
196,b3|b4
197,b2|b3|b4
198,b3
199,b4
200,b4
201,b4
