row_id,winners
0,b1|b2|b3|b4
1,b4
2,b1|b2|b3|b4
3,b4
4,b1|b2|b3|b4
5,b1|b2|b3
6,b1|b3
7,b1|b2|b3|b4
8,b2|b4
9,b3|b4
10,b1|b2|b3|b4
11,b0|b1|b2|b3|b4
12,b1|b2|b3|b4
13,b4
14,b2|b3|b4
15,b1|b2|b3|b4
16,b4
17,b0|b1|b2|b3|b4
18,b2|b4
19,b0|b2
20,b1
21,b2|b4
22,b2|b4
23,b2|b4
24,b1|b2|b3|b4
25,b2|b3|b4
26,b2|b3|b4
27,b4
28,b1|b2|b3|b4
29,b2|b3|b4
30,b4
31,b3|b4
32,b2|b3|b4
33,b3|b4
34,b3|b4
35,b4
36,b1|b2
37,b1
38,b1|b2|b3|b4
39,b2|b3|b4
40,b1|b2|b3|b4
41,b1|b2|b3|b4
42,b0|b1|b2|b3|b4
43,b0
44,b2|b3|b4
45,b3|b4
46,b4
47,b1|b2
48,b1|b2
49,b3|b4
50,b4
51,b1|b2|b3|b4
52,b1|b2|b3|b4
53,b3|b4
54,b2|b3
55,b1|b2|b3|b4
56,b1|b2|b4
57,b2|b4
58,b3|b4
59,b4
60,b1|b2|b3|b4
61,b0
62,b4
63,b1|b2|b3|b4
64,b1|b2|b3|b4
65,b1|b2|b3|b4
66,b2|b3|b4
67,b1|b2|b3|b4
68,b4
69,b0|b1
70,b1
71,b1|b2|b3|b4
72,b3
73,b0|b1|b2|b3|b4
74,b3
75,b4
76,b0|b1|b2|b3|b4
77,b1|b2|b3|b4
78,b4
79,b0|b1|b2|b3|b4
80,b4
81,b1
82,b1|b2|b3|b4
83,b2|b3|b4
84,b1|b2|b4
85,b2
86,b1|b2|b3
87,b4
88,b0
89,b0|b1|b2
90,b1|b2|b4
91,b1|b2|b3|b4
92,b2|b3|b4
93,b1|b3|b4
94,b0
95,b1|b3
96,b3|b4
97,b1|b2|b3|b4
98,b2|b3
99,b0|b1|b2|b3|b4
100,b1|b3|b4
101,b4
102,b0|b1
103,b3
104,b2|b3|b4
105,b0|b1|b2|b3|b4
106,b1|b2|b3|b4
107,b3
108,b2|b3|b4
109,b0|b1|b2|b3|b4
110,b1|b3|b4
111,b0|b1
112,b2|b3|b4
113,b2
114,b0|b1|b2|b3|b4
115,b1|b2
116,b0|b1|b2|b3|b4
117,b1|b2|b3|b4
118,b1|b2|b3|b4
119,b4
120,b4
121,b2|b3
122,b1|b2|b3|b4
123,b2|b3|b4
124,b3
125,b0|b1|b2|b3|b4
126,b1|b2|b3|b4
127,b0|b1|b2|b3|b4
128,b2|b3|b4
129,b2|b3|b4
130,b4
131,b4
132,b3|b4
133,b0|b1|b2|b3|b4
134,b3|b4
135,b0|b1|b2|b3|b4
136,b0
137,b2|b3|b4
138,b1|b2|b3|b4
139,b3|b4
140,b1|b2|b3|b4
141,b3
142,b1|b2|b3|b4
143,b2|b3|b4
144,b1|b2
145,b4
146,b1|b2|b3|b4
147,b3
148,b0|b2|b3|b4
149,b1|b2|b3
150,b0|b1|b2|b3|b4
151,b4
152,b4
153,b2|b3|b4
154,b0|b1|b2|b3|b4
155,b0|b1|b2|b3|b4
156,b0|b1
157,b0|b2|b3
158,b3|b4
159,b3
160,b1|b2|b3|b4
161,b1|b4
162,b2
163,b2|b3|b4
164,b0|b1|b2
165,b1|b2|b3|b4
166,b3
167,b1|b2|b3|b4
168,b3|b4
169,b1
170,b4
171,b1|b3|b4
172,b1|b2|b3|b4
173,b2|b3|b4
174,b1|b2|b3|b4
175,b3|b4
176,b1|b3|b4
177,b2|b3|b4
178,b4
179,b2|b3|b4
180,b1|b2|b3|b4
181,b4
182,b1|b2|b3|b4
183,b4
184,b1|b2|b3|b4
185,b2|b4
186,b0|b1|b3
187,b1|b2|b3|b4
188,b1|b2|b3|b4
189,b2|b3|b4
190,b2|b3|b4
191,b0|b1|b2|b3
192,b1|b2|b3|b4
193,b1|b2|b3|b4
194,b1|b2|b3|b4
195,b0|b1
196,b3|b4
197,b1|b2|b3
198,b3
199,b1|b2|b3|b4
200,b0|b1|b2|b3
201,b2|b3|b4
202,b1|b2|b3|b4
203,b1|b2|b3|b4
204,b4
205,b1|b2|b3|b4
206,b0|b1|b2|b3|b4
207,b1|b2|b3|b4
208,b0|b1|b2|b3|b4
209,b4
210,b2|b3|b4
211,b2|b3
212,b4
213,b0|b1|b2|b3|b4
214,b4
215,b4
216,b1|b2|b3|b4
217,b2
218,b3
219,b1|b2|b3|b4
220,b4
221,b0|b1|b2
222,b1|b2|b3|b4
223,b1|b2|b3|b4
224,b2
225,b3|b4
226,b1|b3|b4
227,b2
228,b2|b3|b4
229,b2|b3|b4
230,b4
231,b1|b2|b3|b4
232,b3|b4
233,b2|b4
234,b0|b1|b2|b3|b4
235,b0
236,b3|b4
237,b2|b3|b4
238,b1|b2|b3|b4
239,b2
240,b4
241,b1|b2|b3|b4
242,b2|b3|b4
243,b4
244,b0|b1|b2|b3|b4
245,b4
246,b3|b4
247,b1|b2|b3|b4
248,b1|b2|b3|b4
249,b2|b3|b4
250,b0|b1|b2|b3|b4
251,b4
252,b2|b4
253,b3
254,b2|b3|b4
255,b0
256,b4
257,b4
258,b3|b4
259,b1|b2|b3
260,b4
261,b2|b4
262,b4
263,b2|b3|b4
264,b3|b4
265,b1|b2|b3|b4
266,b1|b2|b3|b4
267,b1|b2
268,b4
269,b2
270,b2
271,b2|b3
272,b2|b3|b4
273,b1|b2|b3|b4
274,b1|b2|b3|b4
275,b1|b2|b3|b4
276,b3|b4
277,b4
278,b1|b2|b3|b4
279,b1|b2|b3
280,b1|b2|b3|b4
281,b0|b1|b2|b3|b4
282,b4
283,b2|b3
284,b1|b2|b3|b4
285,b1|b4
286,b1|b2|b3
287,b1|b2|b3
288,b2|b3|b4
289,b0|b1|b2|b3|b4
290,b3|b4
291,b4
292,b3
293,b3
294,b0|b1|b2|b3
295,b1|b2|b3|b4
296,b3|b4
297,b0|b1|b2|b3|b4
298,b1|b2|b3|b4
299,b2|b3|b4
300,b3
301,b1|b2|b3|b4
302,b1|b2|b3|b4
303,b3
304,b0|b1|b3
305,b2|b4
306,b0|b1|b2|b3|b4
307,b2|b3|b4
308,b1|b2|b3|b4
309,b1|b2|b4
310,b2|b3|b4
311,b0|b2|b3
312,b4
313,b2|b3|b4
314,b1|b2|b3|b4
315,b1|b2|b3|b4
316,b2
317,b2|b3|b4
318,b1|b2|b4
319,b2|b3|b4
320,b1
321,b2|b4
322,b1|b2|b3|b4
323,b4
324,b0|b1|b2|b3|b4
325,b1
326,b4
327,b1|b2
328,b2|b3|b4
329,b4
330,b1|b2
331,b3|b4
332,b1|b2|b3|b4
333,b0|b4
334,b1|b2|b3|b4
335,b4
336,b3|b4
337,b1|b2|b3|b4
338,b0|b1|b2
339,b1
340,b2|b3|b4
341,b3|b4
342,b4
343,b3|b4
344,b0|b1|b2|b3|b4
345,b2|b3|b4
346,b2|b3
347,b1|b3
348,b3
349,b1|b2|b3|b4
350,b4
351,b1
352,b3
353,b2
354,b1
355,b0|b1|b2|b3|b4
356,b4
357,b4
358,b0
359,b1
360,b0|b1|b2|b3|b4
361,b2|b3|b4
362,b2|b4
363,b3
364,b1
365,b4
366,b4
367,b0|b3
368,b2
