dataset,10,20,50,100,200
7z,0,17,29,31,23
A2C_Acrobot,8,3,8,13,68
A2C_CartPole,4,4,5,33,56
Apache_AllMeasurements,3,7,10,15,61
BDBC,8,18,17,13,44
BankChurners,24,21,20,14,21
Car_price_cleaned,8,5,1,13,75
Data_COVID19_Indonesia,4,5,17,21,53
FFM-1000-200-0,17,6,11,22,44
FFM-125-25-0,2,14,14,27,43
FFM-250-50-0,14,5,6,36,39
FFM-500-100-0,0,3,24,33,40
FM-500-100-0,0,8,23,22,47
FM-500-100-1,6,22,14,19,39
HSMGP_num,3,4,6,32,55
HSQLDB,0,2,10,25,63
Health-ClosedIssues0000,14,2,10,21,54
Health-ClosedIssues0001,11,17,17,18,38
Health-ClosedIssues0002,0,33,51,57,56
Health-ClosedIssues0003,14,14,19,18,36
Health-ClosedIssues0004,5,18,34,16,29
Health-ClosedIssues0005,0,28,12,31,30
Health-ClosedIssues0006,3,14,25,18,40
Health-ClosedIssues0007,11,21,3,29,37
Health-ClosedIssues0008,9,25,7,17,43
Health-ClosedIssues0009,37,4,20,6,34
Health-ClosedIssues0010,1,11,34,20,36
Health-ClosedIssues0011,0,22,25,25,33
Health-ClosedPRs0000,22,60,100,100,100
Health-ClosedPRs0002,4,37,48,46,47
Health-ClosedPRs0003,0,22,58,54,60
Health-ClosedPRs0004,2,34,28,18,21
Health-ClosedPRs0005,0,20,30,35,51
Health-ClosedPRs0006,30,13,24,35,53
Health-ClosedPRs0007,8,26,27,41,23
Health-ClosedPRs0008,7,61,53,64,55
Health-ClosedPRs0009,15,20,27,36,40
Health-ClosedPRs0010,8,17,22,25,30
Health-ClosedPRs0011,0,20,52,53,62
Health-Commits0000,10,6,16,17,52
Health-Commits0001,0,16,25,47,48
Health-Commits0002,0,60,29,33,43
Health-Commits0003,8,13,29,21,30
Health-Commits0004,4,5,10,30,52
Health-Commits0005,6,22,18,24,34
Health-Commits0006,0,14,23,24,39
Health-Commits0007,9,11,9,30,46
Health-Commits0008,44,14,10,12,22
Health-Commits0009,15,10,21,27,28
Health-Commits0010,16,16,12,22,34
Health-Commits0011,0,45,24,18,31
LLVM,13,22,11,12,42
Life_Expectancy_Data,1,34,21,10,34
Loan,8,16,23,27,26
Marketing_Analytics,16,3,18,24,39
Medical_Data_and_Hospital_Readmissions,33,21,23,37,32
PostgreSQL,3,28,9,25,35
SQL_AllMeasurements,15,12,14,22,37
SS-A,2,0,4,10,84
SS-B,0,0,6,9,85
SS-C,0,4,15,20,61
SS-D,0,0,0,27,74
SS-E,15,2,10,24,49
SS-F,0,0,0,23,75
SS-G,1,0,4,41,64
SS-H,0,8,8,14,71
SS-I,2,6,14,17,61
SS-J,0,13,9,25,53
SS-K,5,11,31,16,37
SS-L,20,3,11,21,46
SS-M,3,0,11,19,68
SS-N,7,27,17,25,25
SS-O,10,11,16,19,44
SS-P,7,15,14,24,40
SS-Q,0,4,9,19,68
SS-R,8,0,5,17,70
SS-S,2,2,21,33,43
SS-T,16,11,5,21,47
SS-U,6,1,3,29,61
SS-V,0,8,17,30,45
SS-W,6,10,21,21,42
SS-X,0,7,21,25,48
Scrum100k,4,8,26,28,34
Scrum10k,28,5,15,21,31
Scrum1k,0,29,18,20,34
WA_Fn-UseC_-HR-Employee-Attrition,8,20,23,27,22
WA_Fn-UseC_-Telco-Customer-Churn,3,2,13,26,56
Wine_quality,41,6,9,18,26
X264_AllMeasurements,0,1,5,23,71
accessories,30,22,6,13,33
all_players,12,4,16,23,46
auto93,2,1,10,9,78
billing10k,5,6,20,24,45
coc1000,16,19,18,20,27
dataset120,0,27,19,50,56
dataset600,33,7,0,28,37
dconvert,5,18,22,27,30
deeparch,3,14,26,14,43
dress-up,17,62,74,70,74
exastencils,9,6,28,28,29
home_data_for_ml_course,12,9,8,31,40
javagc,37,6,10,23,25
nasa93dem,0,0,11,31,27
player_statistics_cleaned_final,0,0,0,3,41
pom3a,11,17,18,17,37
pom3b,20,6,30,20,24
pom3c,31,7,18,16,28
pom3d,10,9,14,20,47
redis,39,13,13,11,24
rs-6d-c3_obj1,0,4,17,32,47
rs-6d-c3_obj2,23,10,15,13,39
socks,0,0,0,48,100
sol-6d-c2-obj1,0,8,11,26,55
storm,9,8,14,24,45
student_dropout,27,46,48,59,66
wallpaper,14,2,13,18,78
wc+rs-3d-c4-obj1,3,4,0,25,68
wc+sol-3d-c4-obj1,0,0,2,44,61
wc+wc-3d-c4-obj1,0,2,0,27,69
wc-6d-c1-obj1,14,5,18,15,48
x264,1,18,31,28,22
xomo_flight,17,24,13,26,20
xomo_ground,12,22,28,14,24
xomo_osp,24,15,23,16,22
xomo_osp2,7,12,14,32,37
