dataset,kmeans,tree
7z,5.73,5.19
A2C_Acrobot,49.44,37.37
A2C_CartPole,57.45,57.8
Apache_AllMeasurements,8.04,5.94
BDBC,1.4,1.14
BankChurners,50.42,33.44
Car_price_cleaned,35.57,33.47
Data_COVID19_Indonesia,66.82,24.31
FFM-1000-200-0,47.25,30.03
FFM-125-25-0,48.22,28.49
FFM-250-50-0,41.9,29.03
FFM-500-100-0,45.89,32.79
FM-500-100-0,48.29,38.67
FM-500-100-1,34.84,27.59
HSMGP_num,13.83,4.51
HSQLDB,1.63,0.95
Health-ClosedIssues0000,39.43,17.78
Health-ClosedIssues0001,67.84,56.49
Health-ClosedIssues0002,21.44,21.14
Health-ClosedIssues0003,46.38,39.74
Health-ClosedIssues0004,61.34,66.4
Health-ClosedIssues0005,35.6,35.63
Health-ClosedIssues0006,30.58,25.5
Health-ClosedIssues0007,88.42,83.41
Health-ClosedIssues0008,32.02,29.63
Health-ClosedIssues0009,76.46,64.26
Health-ClosedIssues0010,72.33,68.48
Health-ClosedIssues0011,0.0,23.7
Health-ClosedPRs0000,0.0,0.0
Health-ClosedPRs0002,0.0,0.0
Health-ClosedPRs0003,1.26,1.26
Health-ClosedPRs0004,45.55,32.28
Health-ClosedPRs0005,0.0,0.0
Health-ClosedPRs0006,70.71,80.81
Health-ClosedPRs0007,34.15,34.15
Health-ClosedPRs0008,72.35,68.19
Health-ClosedPRs0009,61.56,72.35
Health-ClosedPRs0010,68.71,70.09
Health-ClosedPRs0011,0.0,0.0
Health-Commits0000,35.47,26.17
Health-Commits0001,3.3,3.3
Health-Commits0002,51.29,51.09
Health-Commits0003,61.29,52.6
Health-Commits0004,58.69,58.17
Health-Commits0005,37.47,46.71
Health-Commits0006,46.67,45.42
Health-Commits0007,70.89,61.59
Health-Commits0008,56.78,61.82
Health-Commits0009,34.65,31.19
Health-Commits0010,38.35,37.19
Health-Commits0011,0.0,0.0
LLVM,24.68,6.38
Life_Expectancy_Data,29.73,16.66
Loan,60.05,37.64
Marketing_Analytics,63.05,50.06
Medical_Data_and_Hospital_Readmissions,0.0,48.97
PostgreSQL,7.61,6.91
SQL_AllMeasurements,47.65,46.27
SS-A,19.47,8.01
SS-B,23.08,2.7
SS-C,27.05,19.24
SS-D,37.27,36.58
SS-E,37.5,30.46
SS-F,28.57,26.66
SS-G,33.44,26.09
SS-H,37.84,0.59
SS-I,48.89,20.63
SS-J,14.59,10.04
SS-K,38.54,39.64
SS-L,16.84,3.99
SS-M,8.39,0.71
SS-N,60.66,56.08
SS-O,30.31,17.35
SS-P,16.84,4.67
SS-Q,13.05,4.02
SS-R,33.28,17.77
SS-S,20.29,5.52
SS-T,10.21,11.89
SS-U,8.99,5.8
SS-V,37.31,20.55
SS-W,67.23,58.5
SS-X,63.65,44.11
Scrum100k,49.59,52.79
Scrum10k,47.55,37.17
Scrum1k,37.63,22.35
WA_Fn-UseC_-HR-Employee-Attrition,42.51,31.97
WA_Fn-UseC_-Telco-Customer-Churn,4.25,1.82
Wine_quality,64.48,44.25
X264_AllMeasurements,5.79,1.48
accessories,67.82,88.5
all_players,50.42,31.17
auto93,38.05,22.1
billing10k,37.47,31.06
coc1000,55.31,62.05
dataset120,49.32,53.19
dataset600,41.58,41.58
dconvert,10.04,13.23
deeparch,23.41,12.32
dress-up,67.17,66.61
exastencils,37.21,27.17
home_data_for_ml_course,46.04,57.06
javagc,11.49,5.41
nasa93dem,46.35,42.0
player_statistics_cleaned_final,31.23,24.51
pom3a,51.71,46.47
pom3b,54.72,41.55
pom3c,56.97,62.14
pom3d,38.65,45.18
redis,66.58,65.84
rs-6d-c3_obj1,66.45,1.05
rs-6d-c3_obj2,0.89,0.89
socks,19.46,12.87
sol-6d-c2-obj1,5.85,5.64
storm,1.02,0.97
student_dropout,45.7,0.0
wallpaper,67.09,61.76
wc+rs-3d-c4-obj1,26.26,2.35
wc+sol-3d-c4-obj1,20.07,1.79
wc+wc-3d-c4-obj1,30.15,5.01
wc-6d-c1-obj1,27.21,7.58
x264,62.21,47.68
xomo_flight,37.12,23.55
xomo_ground,44.92,31.75
xomo_osp,41.37,20.97
xomo_osp2,46.21,42.96
